Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EXPD,2015-11-03,0.62,0.6,1,
EXPD,2016-02-23,0.61,0.6,1,
EXPD,2016-05-03,0.53,0.54,0,
EXPD,2016-08-02,0.63,0.59,1,
EXPD,2016-11-08,0.59,0.65,0,
EXPD,2017-02-21,0.61,0.6,1,
EXPD,2017-05-02,0.51,0.56,0,
EXPD,2017-08-08,0.6,0.59,1,
EXPD,2017-11-07,0.66,0.6,1,
EXPD,2018-02-20,0.71,0.63,1,
EXPD,2018-05-08,0.76,0.65,1,
EXPD,2018-08-07,0.79,0.78,1,
EXPD,2018-11-06,0.92,0.79,1,
EXPD,2019-02-19,1.02,0.85,1,
EXPD,2019-05-07,0.8,0.84,0,
EXPD,2019-08-06,0.88,0.82,1,
EXPD,2019-11-05,0.92,0.91,1,
EXPD,2020-02-18,0.79,0.85,0,
EXPD,2020-05-05,0.71,0.64,1,
EXPD,2020-08-04,1.09,0.71,1,
EXPD,2020-11-03,1.12,0.98,1,
EXPD,2021-02-16,1.16,1.07,1,
EXPD,2021-05-04,1.67,1.04,1,
EXPD,2021-08-03,1.84,1.61,1,
EXPD,2021-11-02,2.09,1.77,1,
EXPD,2022-02-22,2.66,2.08,1,
EXPD,2022-05-03,2.05,1.74,1,
EXPD,2022-08-02,2.27,2.13,1,
EXPD,2022-11-08,2.54,1.95,1,
EXPD,2023-02-21,1.38,1.96,0,
EXPD,2023-05-02,1.45,1.33,1,
EXPD,2023-08-08,1.3,1.38,0,
EXPD,2023-11-07,1.24,1.28,0,
EXPD,2024-02-20,1.09,1.23,0,
EXPD,2024-05-07,1.17,1.08,1,2439001000.0
EXPD,2024-08-06,1.24,1.26,0,3000131000.0
EXPD,2024-11-05,1.63,1.35,1,2954705000.0
EXPD,2025-02-18,1.68,1.44,1,2666419000.0
EXPD,2025-05-06,1.47,1.37,1,2651885000.0
