Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
EXPE,2015-07-30,0.89,0.85,1,
EXPE,2015-10-29,2.07,2.01,1,
EXPE,2016-02-10,0.77,1.0,0,
EXPE,2016-04-28,0.09,-0.06,1,
EXPE,2016-07-28,0.83,0.78,1,
EXPE,2016-10-27,2.41,2.47,0,
EXPE,2017-02-09,1.17,1.37,0,
EXPE,2017-04-27,0.05,0.06,0,
EXPE,2017-07-27,0.89,0.94,0,
EXPE,2017-10-26,2.51,2.62,0,
EXPE,2018-02-08,0.84,1.15,0,
EXPE,2018-04-26,-0.46,-0.47,1,
EXPE,2018-07-26,1.38,0.89,1,
EXPE,2018-10-25,3.65,3.12,1,
EXPE,2019-02-07,1.24,1.08,1,
EXPE,2019-05-02,-0.27,-0.38,1,
EXPE,2019-07-25,1.77,1.67,1,
EXPE,2019-11-06,3.38,3.8,0,
EXPE,2020-02-13,1.24,1.19,1,
EXPE,2020-05-20,-1.83,-1.23,0,
EXPE,2020-07-30,-4.09,-3.34,0,
EXPE,2020-11-04,-0.22,-0.79,1,
EXPE,2021-02-11,-2.64,-1.97,0,
EXPE,2021-05-06,-2.02,-2.31,1,
EXPE,2021-08-05,-1.13,-0.65,0,
EXPE,2021-11-04,3.53,1.65,1,
EXPE,2022-02-10,1.06,0.69,1,
EXPE,2022-05-02,-0.47,-0.62,1,
EXPE,2022-08-04,1.96,1.56,1,
EXPE,2022-11-03,4.05,4.12,0,
EXPE,2023-02-09,1.26,1.67,0,
EXPE,2023-05-04,-0.2,-0.04,0,
EXPE,2023-08-03,2.89,2.32,1,
EXPE,2023-11-02,5.41,4.93,1,
EXPE,2024-02-08,1.72,1.68,1,
EXPE,2024-05-02,0.21,-0.24,1,3558000000.0
EXPE,2024-08-08,3.51,3.06,1,4060000000.0
EXPE,2024-11-07,6.13,6.07,1,3184000000.0
EXPE,2025-02-06,2.39,2.04,1,2988000000.0
EXPE,2025-05-08,0.4,0.32,1,3786000000.0
