Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
FRT,2015-11-04,0.75,0.74,1,
FRT,2016-02-09,0.97,0.76,1,
FRT,2016-05-04,1.1,0.71,1,
FRT,2016-08-04,0.78,0.76,1,
FRT,2016-11-02,0.82,0.76,1,
FRT,2017-02-13,0.8,0.78,1,
FRT,2017-05-03,0.78,0.78,0,
FRT,2017-08-02,1.05,0.8,1,
FRT,2017-11-01,1.47,0.72,1,
FRT,2018-02-13,0.84,0.73,1,
FRT,2018-05-02,0.82,0.78,1,
FRT,2018-08-01,0.84,0.77,1,
FRT,2018-10-31,0.82,0.79,1,
FRT,2019-02-13,0.71,0.77,0,
FRT,2019-05-02,0.78,0.75,1,
FRT,2019-08-01,1.05,0.82,1,
FRT,2019-10-30,0.84,0.81,1,
FRT,2020-02-10,1.92,0.82,1,
FRT,2020-05-06,0.7,0.72,0,
FRT,2020-08-05,0.11,0.55,0,
FRT,2020-11-05,0.35,0.36,0,
FRT,2021-02-11,1.22,0.29,1,
FRT,2021-05-05,0.43,0.19,1,
FRT,2021-08-04,0.57,0.35,1,
FRT,2021-11-04,0.64,0.41,1,
FRT,2022-02-10,1.44,0.52,1,
FRT,2022-05-05,0.63,0.48,1,
FRT,2022-08-04,0.75,0.6,1,
FRT,2022-11-03,1.89,0.63,1,
FRT,2023-02-08,1.4,0.63,1,
FRT,2023-05-04,0.65,0.6,1,
FRT,2023-08-02,0.72,0.66,1,
FRT,2023-11-02,0.67,0.67,0,
FRT,2024-02-12,0.76,0.66,1,
FRT,2024-05-02,0.66,0.67,0,296052000.0
FRT,2024-08-01,0.69,0.71,0,296052000.0
FRT,2024-10-30,0.7,0.73,0,311444000.0
FRT,2025-02-13,0.75,0.73,1,309154000.0
FRT,2025-05-08,0.72,0.7,1,311523000.0
