Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
F,2015-10-27,0.45,0.46,0,
F,2016-01-28,0.58,0.51,1,
F,2016-04-28,0.68,0.48,1,
F,2016-07-28,0.52,0.6,0,
F,2016-10-27,0.26,0.2,1,
F,2017-01-26,0.3,0.31,0,
F,2017-04-27,0.39,0.35,1,
F,2017-07-26,0.56,0.43,1,
F,2017-10-26,0.43,0.32,1,
F,2018-01-24,0.39,0.42,0,
F,2018-04-25,0.43,0.41,1,
F,2018-07-25,0.27,0.31,0,
F,2018-10-24,0.29,0.28,1,
F,2019-01-23,0.3,0.32,0,
F,2019-04-25,0.44,0.27,1,
F,2019-07-24,0.28,0.31,0,
F,2019-10-23,0.34,0.26,1,
F,2020-02-04,0.12,0.15,0,
F,2020-04-28,-0.23,-0.12,0,
F,2020-07-30,-0.35,-1.17,1,
F,2020-10-28,0.65,0.19,1,
F,2021-02-04,0.34,-0.07,1,
F,2021-04-28,0.89,0.21,1,
F,2021-07-28,0.13,-0.03,1,
F,2021-10-27,0.51,0.27,1,
F,2022-02-03,0.26,0.45,0,
F,2022-04-27,0.38,0.37,1,
F,2022-07-27,0.68,0.45,1,
F,2022-10-26,0.3,0.27,1,
F,2023-02-02,0.51,0.62,0,
F,2023-05-02,0.63,0.41,1,
F,2023-07-27,0.72,0.55,1,
F,2023-10-26,0.39,0.45,0,
F,2024-02-06,0.29,0.14,1,
F,2024-04-24,0.49,0.42,1,47808000000.0
F,2024-07-24,0.47,0.68,0,46196000000.0
F,2024-10-28,0.49,0.47,1,48211000000.0
F,2025-02-05,0.39,0.33,1,40659000000.0
F,2025-05-05,0.14,0.02,1,50184000000.0
