Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
GEN,2018-01-31,0.49,0.44,1,
GEN,2018-03-16,-0.92,-0.27,0,
GEN,2018-05-10,0.46,0.39,1,
GEN,2018-08-02,0.34,0.33,1,
GEN,2018-08-07,-0.39,-0.26,0,
GEN,2018-11-01,0.42,0.33,1,
GEN,2018-11-07,-0.57,-0.35,0,
GEN,2019-01-31,0.44,0.39,1,
GEN,2019-03-18,-0.67,-0.24,0,
GEN,2019-05-09,0.39,0.39,0,
GEN,2019-08-08,0.43,0.33,1,
GEN,2019-11-07,0.46,0.41,1,
GEN,2020-02-06,0.25,0.08,1,
GEN,2020-03-16,-0.1,-0.11,1,
GEN,2020-05-14,0.26,0.19,1,
GEN,2020-05-27,0.24,-0.02,1,
GEN,2020-08-06,0.31,0.22,1,
GEN,2020-08-10,-0.2,-0.03,0,
GEN,2020-11-05,0.36,0.33,1,
GEN,2020-11-09,-0.55,-0.36,0,
GEN,2021-02-04,0.38,0.37,1,
GEN,2021-05-10,0.4,0.38,1,
GEN,2021-07-27,0.42,0.41,1,
GEN,2021-11-04,0.43,0.42,1,
GEN,2022-02-03,0.44,0.43,1,
GEN,2022-05-05,0.46,0.45,1,
GEN,2022-08-04,0.45,0.43,1,
GEN,2022-11-08,0.45,0.45,0,
GEN,2023-02-02,0.45,0.43,1,
GEN,2023-05-11,0.46,0.44,1,
GEN,2023-08-03,0.47,0.46,1,
GEN,2023-11-07,0.47,0.47,0,
GEN,2024-02-01,0.49,0.5,0,
GEN,2024-05-09,0.53,0.52,1,965000000.0
GEN,2024-08-01,0.53,0.53,0,965000000.0
GEN,2024-10-30,0.54,0.54,0,986000000.0
GEN,2025-01-30,0.56,0.55,1,1010000000.0
GEN,2025-05-06,0.59,0.58,1,1257000000.0
