Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
GPC,2015-10-19,1.24,1.23,1,
GPC,2016-02-16,1.07,1.01,1,
GPC,2016-04-19,1.05,1.03,1,
GPC,2016-07-19,1.28,1.29,0,
GPC,2016-10-19,1.24,1.28,0,
GPC,2017-02-21,1.02,1.01,1,
GPC,2017-04-19,1.08,1.05,1,
GPC,2017-07-20,1.29,1.31,0,
GPC,2017-10-19,1.16,1.28,0,
GPC,2018-02-20,1.12,1.09,1,
GPC,2018-04-19,1.27,1.31,0,
GPC,2018-07-19,1.59,1.58,1,
GPC,2018-10-18,1.48,1.48,0,
GPC,2019-02-19,1.35,1.31,1,
GPC,2019-04-18,1.28,1.3,0,
GPC,2019-07-18,1.57,1.65,0,
GPC,2019-10-17,1.5,1.47,1,
GPC,2020-02-19,1.35,1.3,1,
GPC,2020-05-06,0.92,1.07,0,
GPC,2020-07-30,1.32,0.93,1,
GPC,2020-10-22,1.63,1.4,1,
GPC,2021-02-17,1.52,1.35,1,
GPC,2021-04-22,1.5,1.15,1,
GPC,2021-07-22,1.74,1.54,1,
GPC,2021-10-21,1.88,1.64,1,
GPC,2022-02-17,1.79,1.6,1,
GPC,2022-04-21,1.86,1.67,1,
GPC,2022-07-27,2.2,2.03,1,
GPC,2022-10-20,2.23,2.05,1,
GPC,2023-02-23,2.05,1.89,1,
GPC,2023-04-20,2.14,2.03,1,
GPC,2023-07-20,2.44,2.34,1,
GPC,2023-10-19,2.49,2.4,1,
GPC,2024-02-15,2.26,2.2,1,
GPC,2024-04-18,2.22,2.16,1,5962567000.0
GPC,2024-07-23,2.44,2.59,0,5970198000.0
GPC,2024-10-22,1.88,2.42,0,5770173000.0
GPC,2025-02-18,1.61,1.55,1,5866069000.0
GPC,2025-04-22,1.75,1.68,1,6164425000.0
