Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HAL,2015-10-19,0.31,0.27,1,
HAL,2016-01-25,0.31,0.24,1,
HAL,2016-05-03,0.07,0.04,1,
HAL,2016-07-20,-0.14,-0.19,1,
HAL,2016-10-19,0.01,-0.06,1,
HAL,2017-01-23,0.04,0.02,1,
HAL,2017-04-24,0.04,0.03,1,
HAL,2017-07-24,0.27,0.18,1,
HAL,2017-10-23,0.42,0.37,1,
HAL,2018-01-22,0.53,0.46,1,
HAL,2018-04-23,0.41,0.41,0,
HAL,2018-07-23,0.58,0.58,0,
HAL,2018-10-22,0.5,0.49,1,
HAL,2019-01-22,0.41,0.37,1,
HAL,2019-04-22,0.23,0.22,1,
HAL,2019-07-22,0.35,0.3,1,
HAL,2019-10-21,0.34,0.34,0,
HAL,2020-01-21,0.32,0.29,1,
HAL,2020-04-20,0.31,0.24,1,
HAL,2020-07-20,0.05,-0.11,1,
HAL,2020-10-19,0.11,0.08,1,
HAL,2021-01-19,0.18,0.15,1,
HAL,2021-04-21,0.19,0.17,1,
HAL,2021-07-20,0.26,0.23,1,
HAL,2021-10-19,0.28,0.28,0,
HAL,2022-01-24,0.36,0.34,1,
HAL,2022-04-19,0.35,0.34,1,
HAL,2022-07-19,0.49,0.45,1,
HAL,2022-10-25,0.6,0.56,1,
HAL,2023-01-24,0.72,0.67,1,
HAL,2023-04-25,0.72,0.67,1,
HAL,2023-07-19,0.77,0.75,1,
HAL,2023-10-24,0.79,0.77,1,
HAL,2024-01-23,0.86,0.8,1,
HAL,2024-04-23,0.76,0.74,1,5833000000.0
HAL,2024-07-19,0.8,0.8,0,5697000000.0
HAL,2024-11-07,0.73,0.75,0,5610000000.0
HAL,2025-01-22,0.7,0.69,1,5417000000.0
HAL,2025-04-22,0.6,0.6,0,5510000000.0
