Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HCA,2015-10-27,1.17,1.2,0,
HCA,2016-01-28,1.69,1.4,1,
HCA,2016-05-03,1.71,1.49,1,
HCA,2016-07-28,1.66,1.56,1,
HCA,2016-10-27,1.61,1.42,1,
HCA,2017-01-31,1.89,1.77,1,
HCA,2017-05-02,1.74,1.76,0,
HCA,2017-07-25,1.75,1.8,0,
HCA,2017-10-18,1.21,1.57,0,
HCA,2018-01-30,2.13,1.87,1,
HCA,2018-05-01,2.33,2.08,1,
HCA,2018-07-25,2.29,2.16,1,
HCA,2018-10-30,2.16,1.9,1,
HCA,2019-01-29,2.99,2.58,1,
HCA,2019-04-30,2.97,2.33,1,
HCA,2019-07-30,2.21,2.46,0,
HCA,2019-10-29,2.23,2.13,1,
HCA,2020-01-28,3.09,3.09,0,
HCA,2020-04-21,2.33,2.64,0,
HCA,2020-07-22,1.5,-0.39,1,
HCA,2020-10-26,1.92,2.32,0,
HCA,2021-02-02,4.13,3.61,1,
HCA,2021-04-22,4.14,3.32,1,
HCA,2021-07-20,4.37,3.16,1,
HCA,2021-10-22,4.57,4.09,1,
HCA,2022-01-27,4.42,4.53,0,
HCA,2022-04-22,4.12,4.25,0,
HCA,2022-07-22,4.21,3.7,1,
HCA,2022-10-21,3.93,3.88,1,
HCA,2023-01-27,4.64,4.78,0,
HCA,2023-04-21,4.93,3.93,1,
HCA,2023-07-27,4.29,4.22,1,
HCA,2023-10-24,3.91,3.98,0,
HCA,2024-01-30,5.93,5.06,1,
HCA,2024-04-26,5.93,5.01,1,17492000000.0
HCA,2024-07-23,5.53,4.85,1,17487000000.0
HCA,2024-10-25,5.03,4.99,1,18285000000.0
HCA,2025-01-24,5.63,6.12,0,18321000000.0
HCA,2025-04-25,6.45,5.78,1,18605000000.0
