Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HIG,2016-02-04,1.07,0.98,1,
HIG,2016-04-28,0.95,1.01,0,
HIG,2016-07-28,0.31,0.8,0,
HIG,2016-10-27,1.06,0.95,1,
HIG,2017-02-02,1.08,0.94,1,
HIG,2017-04-27,1.0,0.99,1,
HIG,2017-07-27,1.04,0.94,1,
HIG,2017-10-23,0.6,0.57,1,
HIG,2018-02-08,0.81,0.76,1,
HIG,2018-04-26,1.27,1.08,1,
HIG,2018-07-26,1.13,1.03,1,
HIG,2018-10-25,1.15,1.06,1,
HIG,2019-02-04,0.78,0.57,1,
HIG,2019-05-01,1.39,1.24,1,
HIG,2019-08-01,1.33,1.14,1,
HIG,2019-11-04,1.5,1.24,1,
HIG,2020-02-03,1.43,1.32,1,
HIG,2020-04-29,1.34,1.35,0,
HIG,2020-07-30,1.22,1.22,0,
HIG,2020-10-29,1.46,0.9,1,
HIG,2021-02-04,1.76,1.33,1,
HIG,2021-04-22,0.56,0.62,0,
HIG,2021-07-28,2.33,1.34,1,
HIG,2021-10-28,1.26,0.86,1,
HIG,2022-02-03,2.02,1.52,1,
HIG,2022-04-28,1.66,1.54,1,
HIG,2022-07-28,2.15,1.52,1,
HIG,2022-10-27,1.44,1.24,1,
HIG,2023-02-02,2.31,1.87,1,
HIG,2023-04-27,1.68,1.72,0,
HIG,2023-07-27,1.88,1.85,1,
HIG,2023-10-26,2.29,1.98,1,
HIG,2024-02-01,3.06,2.44,1,
HIG,2024-04-25,2.34,2.45,0,6470000000.0
HIG,2024-07-25,2.5,2.24,1,6714000000.0
HIG,2024-10-24,2.53,2.54,0,6800000000.0
HIG,2025-01-30,2.94,2.63,1,6771000000.0
HIG,2025-04-24,2.2,2.14,1,6974000000.0
