Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HOLX,2015-11-04,0.43,0.42,1,
HOLX,2016-01-27,0.46,0.42,1,
HOLX,2016-04-27,0.47,0.46,1,
HOLX,2016-07-27,0.51,0.48,1,
HOLX,2016-11-02,0.52,0.5,1,
HOLX,2017-02-01,0.52,0.51,1,
HOLX,2017-05-10,0.5,0.46,1,
HOLX,2017-08-02,0.5,0.49,1,
HOLX,2017-11-08,0.5,0.49,1,
HOLX,2018-02-08,0.55,0.5,1,
HOLX,2018-05-02,0.53,0.53,0,
HOLX,2018-07-31,0.58,0.56,1,
HOLX,2018-11-07,0.58,0.58,0,
HOLX,2019-01-30,0.58,0.57,1,
HOLX,2019-05-01,0.58,0.57,1,
HOLX,2019-07-31,0.63,0.61,1,
HOLX,2019-11-06,0.65,0.65,0,
HOLX,2020-01-29,0.61,0.61,0,
HOLX,2020-04-29,0.57,0.57,0,
HOLX,2020-07-29,0.75,0.39,1,
HOLX,2020-11-04,2.07,1.22,1,
HOLX,2021-01-27,2.86,2.17,1,
HOLX,2021-04-28,2.59,2.62,0,
HOLX,2021-07-28,1.33,1.12,1,
HOLX,2021-11-01,1.61,1.01,1,
HOLX,2022-02-02,2.17,1.28,1,
HOLX,2022-04-27,2.07,1.6,1,
HOLX,2022-07-27,0.95,0.71,1,
HOLX,2022-10-31,0.82,0.62,1,
HOLX,2023-02-01,1.07,0.91,1,
HOLX,2023-05-01,1.06,0.88,1,
HOLX,2023-07-31,0.93,0.89,1,
HOLX,2023-11-09,0.89,0.84,1,
HOLX,2024-02-01,0.98,0.95,1,
HOLX,2024-05-02,1.03,0.98,1,1011400000.0
HOLX,2024-07-29,1.06,1.02,1,988000000.0
HOLX,2024-11-04,1.01,1.01,0,1021800000.0
HOLX,2025-02-05,1.03,1.02,1,1005300000.0
HOLX,2025-05-01,1.03,1.02,1,1005300000.0
