Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HPE,2015-11-24,0.52,0.52,0,
HPE,2016-03-03,0.41,0.4,1,
HPE,2016-05-24,0.42,0.42,0,
HPE,2016-09-07,0.49,0.44,1,
HPE,2016-11-22,0.61,0.6,1,
HPE,2017-02-23,0.45,0.44,1,
HPE,2017-05-31,0.35,0.35,0,
HPE,2017-09-05,0.3,0.26,1,
HPE,2017-11-21,0.31,0.28,1,
HPE,2018-02-22,0.34,0.22,1,
HPE,2018-05-22,0.34,0.31,1,
HPE,2018-08-28,0.44,0.37,1,
HPE,2018-12-04,0.45,0.43,1,
HPE,2019-02-21,0.42,0.35,1,
HPE,2019-05-23,0.42,0.37,1,
HPE,2019-08-27,0.45,0.4,1,
HPE,2019-11-25,0.49,0.46,1,
HPE,2020-03-03,0.44,0.44,0,
HPE,2020-05-21,0.22,0.29,0,
HPE,2020-08-25,0.32,0.23,1,
HPE,2020-12-01,0.37,0.34,1,
HPE,2021-03-02,0.52,0.41,1,
HPE,2021-06-01,0.46,0.42,1,
HPE,2021-09-02,0.47,0.42,1,
HPE,2021-11-30,0.52,0.48,1,
HPE,2022-03-01,0.53,0.46,1,
HPE,2022-06-01,0.44,0.45,0,
HPE,2022-08-30,0.48,0.48,0,
HPE,2022-11-29,0.57,0.56,1,
HPE,2023-03-02,0.63,0.54,1,
HPE,2023-05-30,0.52,0.48,1,
HPE,2023-08-29,0.49,0.47,1,
HPE,2023-11-28,0.52,0.5,1,
HPE,2024-02-29,0.48,0.45,1,
HPE,2024-06-04,0.42,0.39,1,
HPE,2024-09-04,0.5,0.47,1,
HPE,2024-12-05,0.58,0.56,1,
HPE,2025-03-06,0.49,0.49,0,
HPE,2025-06-03,0.38,0.32,1,
