Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HRL,2015-11-24,0.37,0.35,1,
HRL,2016-02-16,0.43,0.37,1,
HRL,2016-05-18,0.4,0.39,1,
HRL,2016-08-18,0.36,0.35,1,
HRL,2016-11-22,0.45,0.46,0,
HRL,2017-02-23,0.44,0.45,0,
HRL,2017-05-25,0.39,0.4,0,
HRL,2017-08-24,0.34,0.37,0,
HRL,2017-11-21,0.41,0.4,1,
HRL,2018-02-22,0.44,0.44,0,
HRL,2018-05-24,0.44,0.45,0,
HRL,2018-08-23,0.39,0.39,0,
HRL,2018-11-20,0.51,0.49,1,
HRL,2019-02-21,0.44,0.44,0,
HRL,2019-05-23,0.46,0.45,1,
HRL,2019-08-22,0.37,0.36,1,
HRL,2019-11-26,0.47,0.46,1,
HRL,2020-02-20,0.45,0.46,0,
HRL,2020-05-21,0.42,0.43,0,
HRL,2020-08-25,0.37,0.34,1,
HRL,2020-11-24,0.43,0.44,0,
HRL,2021-02-18,0.41,0.41,0,
HRL,2021-05-20,0.42,0.41,1,
HRL,2021-09-02,0.39,0.39,0,
HRL,2021-12-09,0.51,0.5,1,
HRL,2022-03-01,0.44,0.44,0,
HRL,2022-06-02,0.48,0.47,1,
HRL,2022-09-01,0.4,0.41,0,
HRL,2022-11-30,0.51,0.5,1,
HRL,2023-03-02,0.4,0.45,0,
HRL,2023-06-01,0.4,0.4,0,
HRL,2023-08-31,0.4,0.41,0,
HRL,2023-11-29,0.42,0.44,0,
HRL,2024-02-29,0.41,0.33,1,
HRL,2024-05-30,0.38,0.36,1,
HRL,2024-09-04,0.37,0.36,1,
HRL,2024-12-04,0.42,0.42,0,
HRL,2025-02-27,0.35,0.38,0,
HRL,2025-05-29,0.35,0.34,1,
