Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HSIC,2015-11-04,0.78,0.73,1,
HSIC,2016-02-10,0.84,0.82,1,
HSIC,2016-05-03,0.71,0.69,1,
HSIC,2016-08-04,0.8,0.82,0,
HSIC,2016-11-02,0.84,0.83,1,
HSIC,2017-02-21,0.94,0.92,1,
HSIC,2017-05-09,0.88,0.82,1,
HSIC,2017-08-08,0.88,0.87,1,
HSIC,2017-11-06,0.87,0.89,0,
HSIC,2018-02-20,0.97,0.97,0,
HSIC,2018-05-08,0.95,0.92,1,
HSIC,2018-08-06,1.04,1.01,1,
HSIC,2018-11-06,1.03,1.01,1,
HSIC,2019-02-20,1.12,1.11,1,
HSIC,2019-05-07,0.8,0.76,1,
HSIC,2019-08-06,0.84,0.83,1,
HSIC,2019-11-05,0.9,0.86,1,
HSIC,2020-02-20,0.97,0.91,1,
HSIC,2020-05-05,0.94,0.74,1,
HSIC,2020-11-02,1.03,0.79,1,
HSIC,2021-02-17,1.0,0.99,1,
HSIC,2021-05-04,1.24,0.84,1,
HSIC,2021-08-03,1.11,0.97,1,
HSIC,2021-11-02,1.1,0.95,1,
HSIC,2022-02-15,1.07,0.91,1,
HSIC,2022-05-03,1.3,1.19,1,
HSIC,2022-08-02,1.16,1.16,0,
HSIC,2022-11-01,1.09,1.14,0,
HSIC,2023-02-16,1.21,1.21,0,
HSIC,2023-05-09,1.21,1.23,0,
HSIC,2023-08-07,1.31,1.28,1,
HSIC,2023-11-13,1.32,1.32,0,
HSIC,2024-02-27,0.66,0.69,0,
HSIC,2024-05-07,1.1,1.01,1,3136000000.0
HSIC,2024-08-06,1.23,1.22,1,3174000000.0
HSIC,2024-11-05,1.22,1.17,1,3191000000.0
HSIC,2025-02-25,1.19,1.21,0,3168000000.0
HSIC,2025-05-05,1.15,1.11,1,3240000000.0
