Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
HST,2016-04-29,0.24,0.2,1,
HST,2016-07-29,0.47,0.43,1,
HST,2016-11-02,0.14,0.13,1,
HST,2017-02-22,0.17,0.14,1,
HST,2017-04-28,0.21,0.16,1,
HST,2017-07-26,0.28,0.29,0,
HST,2017-11-01,0.14,0.14,0,
HST,2018-02-21,0.12,0.15,0,
HST,2018-05-02,0.34,0.21,1,
HST,2018-08-07,0.28,0.26,1,
HST,2018-11-01,0.43,0.11,1,
HST,2019-02-19,0.4,0.18,1,
HST,2019-05-01,0.25,0.21,1,
HST,2019-08-06,0.39,0.31,1,
HST,2019-11-05,0.5,0.43,1,
HST,2020-02-19,0.11,0.12,0,
HST,2020-07-30,-0.5,-0.46,0,
HST,2020-11-04,-0.44,-0.45,1,
HST,2021-02-18,-0.09,-0.42,1,
HST,2021-05-04,-0.22,-0.4,1,
HST,2021-08-03,-0.09,-0.23,1,
HST,2021-11-03,-0.04,-0.09,1,
HST,2022-02-16,0.45,-0.01,1,
HST,2022-05-04,0.16,0.03,1,
HST,2022-08-03,0.36,0.25,1,
HST,2022-11-02,0.16,0.17,0,
HST,2023-02-15,0.2,0.19,1,
HST,2023-05-03,0.4,0.24,1,
HST,2023-08-02,0.29,0.33,0,
HST,2023-11-01,0.16,0.11,1,
HST,2024-02-21,0.19,0.2,0,
HST,2024-05-01,0.38,0.32,1,
HST,2024-07-31,0.34,0.34,0,1319000000.0
HST,2024-11-06,0.12,0.1,1,1428000000.0
HST,2025-02-19,0.15,0.13,1,1594000000.0
HST,2025-04-30,0.35,0.27,1,1586000000.0
