Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
IEX,2016-01-27,0.94,0.9,1,
IEX,2016-04-18,0.84,0.81,1,
IEX,2016-07-18,0.99,0.93,1,
IEX,2016-10-17,0.92,0.92,0,
IEX,2017-01-30,0.96,0.93,1,
IEX,2017-04-19,1.03,0.93,1,
IEX,2017-07-25,1.08,1.06,1,
IEX,2017-10-16,1.08,1.06,1,
IEX,2018-01-29,1.12,1.08,1,
IEX,2018-04-30,1.29,1.24,1,
IEX,2018-07-24,1.4,1.31,1,
IEX,2018-10-23,1.41,1.31,1,
IEX,2019-01-29,1.31,1.27,1,
IEX,2019-04-25,1.44,1.37,1,
IEX,2019-07-25,1.5,1.49,1,
IEX,2019-10-29,1.52,1.46,1,
IEX,2020-01-29,1.33,1.35,0,
IEX,2020-04-23,1.33,1.3,1,
IEX,2020-07-23,1.1,1.0,1,
IEX,2020-10-27,1.4,1.2,1,
IEX,2021-02-03,1.37,1.31,1,
IEX,2021-04-27,1.51,1.41,1,
IEX,2021-07-27,1.61,1.62,0,
IEX,2021-10-26,1.63,1.59,1,
IEX,2022-02-01,1.55,1.58,0,
IEX,2022-04-26,1.96,1.74,1,
IEX,2022-07-26,2.02,1.89,1,
IEX,2022-10-25,2.14,2.0,1,
IEX,2023-01-31,2.01,1.98,1,
IEX,2023-04-26,2.09,2.02,1,
IEX,2023-07-26,2.18,2.11,1,
IEX,2023-10-25,2.12,1.89,1,
IEX,2024-02-06,1.83,1.78,1,
IEX,2024-04-23,1.88,1.76,1,807200000.0
IEX,2024-07-31,2.06,2.04,1,798200000.0
IEX,2024-10-29,1.9,1.88,1,862900000.0
IEX,2025-02-04,2.04,2.02,1,814300000.0
IEX,2025-05-01,1.75,1.63,1,814300000.0
