Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
IQV,2015-10-28,0.94,0.81,1,
IQV,2016-02-11,0.9,0.87,1,
IQV,2016-05-03,0.89,0.86,1,
IQV,2016-07-27,0.93,0.9,1,
IQV,2016-11-02,1.0,0.99,1,
IQV,2017-02-14,1.09,1.05,1,
IQV,2017-05-03,1.01,0.96,1,
IQV,2017-08-03,1.09,1.05,1,
IQV,2017-10-26,1.19,1.14,1,
IQV,2018-02-14,1.4,1.34,1,
IQV,2018-05-02,1.34,1.27,1,
IQV,2018-07-24,1.29,1.23,1,
IQV,2018-10-22,1.42,1.39,1,
IQV,2019-02-14,1.5,1.47,1,
IQV,2019-05-01,1.53,1.51,1,
IQV,2019-07-24,1.53,1.49,1,
IQV,2019-10-30,1.6,1.57,1,
IQV,2020-02-12,1.74,1.72,1,
IQV,2020-04-28,1.5,1.48,1,
IQV,2020-07-22,1.18,1.06,1,
IQV,2020-10-20,1.63,1.54,1,
IQV,2021-02-10,2.11,2.0,1,
IQV,2021-04-22,2.18,1.85,1,
IQV,2021-07-27,2.13,2.08,1,
IQV,2021-10-21,2.17,2.12,1,
IQV,2022-02-15,2.55,2.43,1,
IQV,2022-04-27,2.47,2.42,1,
IQV,2022-07-21,2.44,2.38,1,
IQV,2022-10-26,2.48,2.38,1,
IQV,2023-02-10,2.78,2.76,1,
IQV,2023-04-27,2.45,2.41,1,
IQV,2023-08-01,2.43,2.37,1,
IQV,2023-11-01,2.49,2.44,1,
IQV,2024-02-14,2.84,2.82,1,
IQV,2024-05-02,2.54,2.48,1,3814000000.0
IQV,2024-07-22,2.64,2.57,1,3896000000.0
IQV,2024-10-31,2.84,2.81,1,3958000000.0
IQV,2025-02-06,3.12,3.11,1,3829000000.0
IQV,2025-05-06,2.7,2.63,1,4017000000.0
