Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
JCI,2015-11-13,0.64,0.64,0,
JCI,2016-01-29,0.44,0.44,0,
JCI,2016-04-29,0.47,0.48,0,
JCI,2016-07-29,0.57,0.56,1,
JCI,2016-11-08,1.21,1.06,1,
JCI,2017-02-01,0.53,0.52,1,
JCI,2017-04-27,0.5,0.49,1,
JCI,2017-07-27,0.71,0.71,0,
JCI,2017-11-09,0.87,0.87,0,
JCI,2018-01-31,0.54,0.53,1,
JCI,2018-05-01,0.53,0.52,1,
JCI,2018-07-31,0.81,0.79,1,
JCI,2018-11-08,0.93,0.93,0,
JCI,2019-02-01,0.26,0.24,1,
JCI,2019-05-01,0.32,0.3,1,
JCI,2019-07-31,0.65,0.63,1,
JCI,2019-11-07,0.78,0.76,1,
JCI,2020-01-31,0.4,0.38,1,
JCI,2020-05-01,0.42,0.36,1,
JCI,2020-07-31,0.67,0.48,1,
JCI,2020-11-03,0.76,0.73,1,
JCI,2021-01-29,0.43,0.4,1,
JCI,2021-04-30,0.52,0.49,1,
JCI,2021-07-30,0.83,0.83,0,
JCI,2021-11-05,0.88,0.87,1,
JCI,2022-02-02,0.54,0.53,1,
JCI,2022-05-04,0.63,0.63,0,
JCI,2022-08-04,0.85,0.85,0,
JCI,2022-11-03,0.99,0.98,1,
JCI,2023-02-01,0.67,0.67,0,
JCI,2023-05-05,0.75,0.73,1,
JCI,2023-08-02,1.03,1.03,0,
JCI,2023-12-12,1.05,1.09,0,
JCI,2024-01-30,0.51,0.51,0,
JCI,2024-05-01,0.78,0.75,1,
JCI,2024-07-31,1.14,1.08,1,2928000000.0
JCI,2024-11-06,1.28,1.2,1,5426000000.0
JCI,2025-02-05,0.64,0.59,1,5676000000.0
JCI,2025-05-07,0.82,0.79,1,6052000000.0
