Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
KDP,2015-10-22,1.08,1.03,1,
KDP,2016-02-17,1.0,0.98,1,
KDP,2016-04-27,0.94,0.86,1,
KDP,2016-07-27,1.25,1.2,1,
KDP,2016-10-27,1.17,1.11,1,
KDP,2017-02-14,1.04,1.06,0,
KDP,2017-04-26,0.91,0.97,0,
KDP,2017-07-27,1.25,1.28,0,
KDP,2017-10-25,1.1,1.16,0,
KDP,2018-02-14,1.13,1.16,0,
KDP,2018-04-25,0.98,1.04,0,
KDP,2018-08-08,1.3,0.28,1,
KDP,2018-11-07,0.3,0.27,1,
KDP,2019-02-28,0.3,0.3,0,
KDP,2019-05-09,0.25,0.23,1,
KDP,2019-08-08,0.3,0.29,1,
KDP,2019-11-07,0.32,0.32,0,
KDP,2020-02-27,0.35,0.35,0,
KDP,2020-04-27,0.29,0.27,1,
KDP,2020-07-30,0.33,0.31,1,
KDP,2020-10-29,0.39,0.37,1,
KDP,2021-02-25,0.39,0.4,0,
KDP,2021-04-29,0.33,0.32,1,
KDP,2021-07-29,0.38,0.37,1,
KDP,2021-10-28,0.44,0.44,0,
KDP,2022-02-24,0.45,0.45,0,
KDP,2022-04-28,0.33,0.33,0,
KDP,2022-07-28,0.39,0.39,0,
KDP,2022-10-27,0.46,0.46,0,
KDP,2023-02-23,0.5,0.5,0,
KDP,2023-04-27,0.34,0.33,1,
KDP,2023-07-27,0.42,0.4,1,
KDP,2023-10-26,0.48,0.47,1,
KDP,2024-02-22,0.55,0.54,1,
KDP,2024-04-25,0.38,0.35,1,3922000000.0
KDP,2024-07-25,0.45,0.45,0,3891000000.0
KDP,2024-10-24,0.51,0.51,0,4070000000.0
KDP,2025-02-25,0.58,0.57,1,3635000000.0
KDP,2025-04-24,0.42,0.38,1,4163000000.0
