Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
KEY,2017-07-20,0.34,0.33,1,
KEY,2017-10-19,0.32,0.35,0,
KEY,2018-01-18,0.33,0.36,0,
KEY,2018-04-19,0.38,0.38,0,
KEY,2018-07-19,0.44,0.42,1,
KEY,2018-10-18,0.45,0.45,0,
KEY,2019-01-17,0.48,0.47,1,
KEY,2019-04-18,0.4,0.41,0,
KEY,2019-07-23,0.4,0.44,0,
KEY,2019-10-17,0.48,0.46,1,
KEY,2020-01-23,0.48,0.48,0,
KEY,2020-04-16,0.12,0.18,0,
KEY,2020-07-22,0.17,0.08,1,
KEY,2020-10-21,0.41,0.37,1,
KEY,2021-01-21,0.57,0.43,1,
KEY,2021-04-20,0.61,0.48,1,
KEY,2021-07-20,0.73,0.54,1,
KEY,2021-10-21,0.66,0.57,1,
KEY,2022-01-20,0.64,0.57,1,
KEY,2022-04-21,0.45,0.49,0,
KEY,2022-07-21,0.54,0.52,1,
KEY,2022-10-20,0.55,0.58,0,
KEY,2023-01-19,0.38,0.54,0,
KEY,2023-04-20,0.3,0.44,0,
KEY,2023-07-20,0.27,0.31,0,
KEY,2023-10-19,0.29,0.27,1,
KEY,2024-01-18,0.25,0.23,1,
KEY,2024-04-18,0.22,0.22,0,1477000000.0
KEY,2024-07-18,0.25,0.24,1,642000000.0
KEY,2024-10-17,0.3,0.15,1,793000000.0
KEY,2025-01-21,0.38,0.33,1,1724000000.0
KEY,2025-04-17,0.33,0.32,1,1783000000.0
