Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
KHC,2015-08-10,0.98,0.84,1,
KHC,2015-11-05,0.44,0.62,0,
KHC,2016-02-25,0.62,0.58,1,
KHC,2016-05-04,0.73,0.62,1,
KHC,2016-08-04,0.85,0.72,1,
KHC,2016-11-03,0.83,0.75,1,
KHC,2017-02-15,0.91,0.88,1,
KHC,2017-05-03,0.84,0.86,0,
KHC,2017-08-03,0.98,0.95,1,
KHC,2017-11-01,0.83,0.82,1,
KHC,2018-02-16,0.9,0.95,0,
KHC,2018-05-02,0.89,0.82,1,
KHC,2018-08-03,1.0,0.92,1,
KHC,2018-11-01,0.78,0.81,0,
KHC,2019-02-21,0.84,0.94,0,
KHC,2019-08-08,0.78,0.75,1,
KHC,2019-10-31,0.69,0.54,1,
KHC,2020-02-13,0.72,0.68,1,
KHC,2020-04-30,0.58,0.55,1,
KHC,2020-07-30,0.8,0.65,1,
KHC,2020-10-29,0.7,0.62,1,
KHC,2021-02-11,0.8,0.74,1,
KHC,2021-04-29,0.72,0.59,1,
KHC,2021-08-04,0.78,0.72,1,
KHC,2021-10-27,0.65,0.58,1,
KHC,2022-02-16,0.79,0.63,1,
KHC,2022-04-27,0.6,0.53,1,
KHC,2022-07-27,0.7,0.68,1,
KHC,2022-10-26,0.63,0.56,1,
KHC,2023-02-15,0.85,0.78,1,
KHC,2023-05-03,0.68,0.6,1,
KHC,2023-08-02,0.79,0.76,1,
KHC,2023-11-01,0.72,0.66,1,
KHC,2024-02-14,0.78,0.77,1,
KHC,2024-05-01,0.69,0.69,0,
KHC,2024-07-31,0.78,0.74,1,6383000000.0
KHC,2024-10-30,0.75,0.74,1,6576000000.0
KHC,2025-02-12,0.84,0.78,1,5999000000.0
KHC,2025-04-29,0.62,0.6,1,6352000000.0
