Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
KLAC,2015-10-21,0.71,0.56,1,
KLAC,2016-01-28,1.04,0.86,1,
KLAC,2016-04-26,1.15,0.98,1,
KLAC,2016-07-28,1.77,1.42,1,
KLAC,2016-10-20,1.16,1.03,1,
KLAC,2017-01-26,1.52,1.39,1,
KLAC,2017-04-27,1.62,1.55,1,
KLAC,2017-07-27,1.64,1.59,1,
KLAC,2017-10-26,1.8,1.64,1,
KLAC,2018-01-25,1.97,1.73,1,
KLAC,2018-04-26,2.02,1.99,1,
KLAC,2018-07-30,2.22,2.14,1,
KLAC,2018-10-29,2.46,2.21,1,
KLAC,2019-01-29,2.44,2.2,1,
KLAC,2019-05-06,1.8,1.67,1,
KLAC,2019-08-05,1.78,1.74,1,
KLAC,2019-10-30,2.48,2.2,1,
KLAC,2020-02-04,2.66,2.58,1,
KLAC,2020-05-05,2.47,2.28,1,
KLAC,2020-08-03,2.73,2.41,1,
KLAC,2020-10-28,3.03,2.77,1,
KLAC,2021-02-03,3.24,3.19,1,
KLAC,2021-04-29,3.85,3.62,1,
KLAC,2021-07-29,4.43,3.99,1,
KLAC,2021-10-27,4.64,4.52,1,
KLAC,2022-01-27,5.59,5.45,1,
KLAC,2022-04-28,5.13,4.82,1,
KLAC,2022-07-28,5.81,5.5,1,
KLAC,2022-10-26,7.06,6.21,1,
KLAC,2023-01-26,7.38,7.1,1,
KLAC,2023-04-26,5.49,5.32,1,
KLAC,2023-07-27,5.4,4.85,1,
KLAC,2023-10-25,5.74,5.41,1,
KLAC,2024-01-25,6.16,5.91,1,
KLAC,2024-04-25,5.26,5.01,1,2568735000.0
KLAC,2024-07-24,6.6,6.15,1,2841541000.0
KLAC,2024-10-30,7.33,7.05,1,3076851000.0
KLAC,2025-01-30,8.2,7.75,1,3063029000.0
KLAC,2025-04-30,8.41,8.1,1,3174741000.0
