Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
LDOS,2015-10-29,0.71,0.66,1,
LDOS,2016-02-18,0.78,0.65,1,
LDOS,2016-04-27,0.72,0.68,1,
LDOS,2016-07-28,0.68,0.73,0,
LDOS,2016-11-03,1.25,0.96,1,
LDOS,2017-02-23,0.75,0.83,0,
LDOS,2017-05-04,0.88,0.79,1,
LDOS,2017-08-03,1.04,0.8,1,
LDOS,2017-11-02,0.95,0.82,1,
LDOS,2018-02-22,0.87,0.84,1,
LDOS,2018-05-03,1.03,1.03,0,
LDOS,2018-07-26,1.12,1.06,1,
LDOS,2018-10-25,1.14,1.11,1,
LDOS,2019-02-19,1.1,1.07,1,
LDOS,2019-04-30,1.13,1.0,1,
LDOS,2019-07-30,1.16,1.11,1,
LDOS,2019-10-29,1.36,1.19,1,
LDOS,2020-02-18,1.51,1.35,1,
LDOS,2020-05-05,1.19,1.23,0,
LDOS,2020-08-04,1.55,1.09,1,
LDOS,2020-11-02,1.47,1.24,1,
LDOS,2021-02-23,1.63,1.61,1,
LDOS,2021-05-04,1.73,1.48,1,
LDOS,2021-08-03,1.52,1.58,0,
LDOS,2021-11-02,1.8,1.62,1,
LDOS,2022-02-15,1.56,1.6,0,
LDOS,2022-05-03,1.58,1.5,1,
LDOS,2022-08-02,1.59,1.56,1,
LDOS,2022-11-01,1.58,1.57,1,
LDOS,2023-02-14,1.83,1.61,1,
LDOS,2023-05-02,1.47,1.59,0,
LDOS,2023-08-01,1.8,1.57,1,
LDOS,2023-10-31,2.03,1.67,1,
LDOS,2024-02-13,1.99,1.74,1,
LDOS,2024-04-30,2.29,1.7,1,4132000000.0
LDOS,2024-07-30,2.63,2.27,1,4190000000.0
LDOS,2024-10-29,2.93,2.02,1,4365000000.0
LDOS,2025-02-11,2.37,2.27,1,4245000000.0
LDOS,2025-05-06,2.97,2.5,1,4253000000.0
