Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
LUV,2016-01-21,0.9,0.9,0,
LUV,2016-04-21,0.88,0.84,1,
LUV,2016-07-21,1.19,1.21,0,
LUV,2016-10-26,0.93,0.88,1,
LUV,2017-01-26,0.75,0.68,1,
LUV,2017-04-27,0.61,0.63,0,
LUV,2017-07-27,1.24,1.16,1,
LUV,2017-10-26,0.88,0.81,1,
LUV,2018-01-25,0.77,0.7,1,
LUV,2018-04-26,0.75,0.74,1,
LUV,2018-07-26,1.26,1.22,1,
LUV,2018-10-25,1.08,1.04,1,
LUV,2019-01-24,1.17,1.06,1,
LUV,2019-04-25,0.7,0.61,1,
LUV,2019-07-25,1.37,1.34,1,
LUV,2019-10-24,1.23,1.08,1,
LUV,2020-01-23,1.16,1.09,1,
LUV,2020-04-28,-0.15,-0.41,1,
LUV,2020-07-23,-2.67,-2.66,0,
LUV,2020-10-22,-1.99,-2.35,1,
LUV,2021-01-28,-1.29,-1.68,1,
LUV,2021-04-22,-1.72,-1.85,1,
LUV,2021-07-22,-0.35,-0.23,0,
LUV,2021-10-21,-0.23,-0.27,1,
LUV,2022-01-27,0.14,0.07,1,
LUV,2022-04-28,-0.32,-0.3,0,
LUV,2022-07-28,1.3,1.19,1,
LUV,2022-10-27,0.5,0.42,1,
LUV,2023-01-26,-0.38,-0.12,0,
LUV,2023-04-27,-0.27,-0.23,0,
LUV,2023-07-27,1.09,1.1,0,
LUV,2023-10-26,0.38,0.38,0,
LUV,2024-01-25,0.37,0.12,1,
LUV,2024-04-25,-0.36,-0.34,0,7354000000.0
LUV,2024-07-25,0.58,0.51,1,6870000000.0
LUV,2025-01-30,0.56,0.44,1,6428000000.0
LUV,2025-04-23,-0.13,-0.18,1,7244000000.0
