Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MAA,2016-05-04,0.58,0.59,0,
MAA,2016-07-27,0.6,0.65,0,
MAA,2016-10-27,1.17,0.7,1,
MAA,2017-02-01,0.46,0.51,0,
MAA,2017-04-26,0.36,0.54,0,
MAA,2017-07-26,0.42,0.33,1,
MAA,2017-10-25,1.0,0.41,1,
MAA,2018-01-31,0.48,0.48,0,
MAA,2018-05-02,0.42,0.46,0,
MAA,2018-08-01,0.48,0.46,1,
MAA,2018-10-31,0.46,0.47,0,
MAA,2019-01-30,0.53,0.49,1,
MAA,2019-05-01,0.55,0.48,1,
MAA,2019-07-31,0.54,0.51,1,
MAA,2019-10-30,0.68,0.56,1,
MAA,2020-01-29,1.3,0.59,1,
MAA,2020-05-06,0.31,0.59,0,
MAA,2020-07-29,0.65,0.54,1,
MAA,2020-10-28,0.52,0.49,1,
MAA,2021-02-03,0.72,0.53,1,
MAA,2021-04-28,0.4,0.6,0,
MAA,2021-07-28,0.7,0.57,1,
MAA,2021-10-27,0.73,0.66,1,
MAA,2022-02-02,1.6,0.75,1,
MAA,2022-04-27,0.95,0.82,1,
MAA,2022-07-27,1.82,0.94,1,
MAA,2022-10-26,1.05,1.11,0,
MAA,2023-02-01,1.67,1.17,1,
MAA,2023-04-26,1.16,1.1,1,
MAA,2023-07-26,1.24,1.1,1,
MAA,2023-10-24,0.94,1.12,0,
MAA,2024-02-07,1.37,1.08,1,
MAA,2024-05-01,1.22,1.03,1,
MAA,2024-07-31,0.94,1.01,0,551126000.0
MAA,2024-10-30,0.98,1.01,0,549832000.0
MAA,2025-02-05,1.42,1.01,1,549295000.0
MAA,2025-04-30,1.54,0.89,1,549902000.0
