Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MAR,2015-10-28,0.78,0.74,1,
MAR,2016-02-17,0.77,0.76,1,
MAR,2016-04-27,0.87,0.84,1,
MAR,2016-07-27,1.03,0.98,1,
MAR,2016-11-07,0.91,0.88,1,
MAR,2017-02-15,0.85,0.84,1,
MAR,2017-05-08,1.01,0.91,1,
MAR,2017-08-07,1.08,1.02,1,
MAR,2017-11-07,1.1,0.99,1,
MAR,2018-02-14,1.12,1.0,1,
MAR,2018-05-08,1.34,1.22,1,
MAR,2018-08-06,1.47,1.38,1,
MAR,2018-11-05,1.7,1.31,1,
MAR,2019-02-28,1.44,1.39,1,
MAR,2019-05-10,1.41,1.34,1,
MAR,2019-08-05,1.56,1.56,0,
MAR,2019-11-04,1.47,1.49,0,
MAR,2020-02-26,1.57,1.47,1,
MAR,2020-05-11,0.26,0.8,0,
MAR,2020-08-10,-0.64,-0.42,0,
MAR,2020-11-06,0.06,-0.08,1,
MAR,2021-02-18,0.12,0.11,1,
MAR,2021-05-10,0.1,0.03,1,
MAR,2021-08-03,0.79,0.45,1,
MAR,2021-11-03,0.99,0.98,1,
MAR,2022-02-15,1.3,0.99,1,
MAR,2022-05-04,1.25,0.9,1,
MAR,2022-08-02,1.8,1.56,1,
MAR,2022-11-03,1.69,1.68,1,
MAR,2023-02-14,1.96,1.83,1,
MAR,2023-05-02,2.09,1.84,1,
MAR,2023-08-01,2.26,2.18,1,
MAR,2023-11-02,2.11,2.11,0,
MAR,2024-02-13,3.57,2.12,1,
MAR,2024-05-01,2.13,2.17,0,
MAR,2024-07-31,2.5,2.47,1,6255000000.0
MAR,2024-11-04,2.26,2.31,0,6429000000.0
MAR,2025-02-11,2.45,2.38,1,6263000000.0
MAR,2025-05-06,2.32,2.25,1,6744000000.0
