Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MAS,2015-10-27,0.34,0.32,1,
MAS,2016-02-09,0.29,0.26,1,
MAS,2016-04-26,0.32,0.26,1,
MAS,2016-07-26,0.46,0.43,1,
MAS,2016-10-25,0.41,0.44,0,
MAS,2017-02-09,0.33,0.34,0,
MAS,2017-04-25,0.41,0.36,1,
MAS,2017-07-27,0.6,0.6,0,
MAS,2017-10-24,0.5,0.52,0,
MAS,2018-02-08,0.44,0.44,0,
MAS,2018-04-24,0.45,0.49,0,
MAS,2018-07-31,0.75,0.77,0,
MAS,2018-10-30,0.65,0.7,0,
MAS,2019-02-07,0.64,0.56,1,
MAS,2019-04-25,0.44,0.47,0,
MAS,2019-07-25,0.88,0.82,1,
MAS,2019-10-30,0.68,0.69,0,
MAS,2020-02-11,0.54,0.52,1,
MAS,2020-04-29,0.46,0.36,1,
MAS,2020-07-30,0.84,0.67,1,
MAS,2020-10-28,1.04,0.78,1,
MAS,2021-02-09,0.75,0.74,1,
MAS,2021-04-28,0.89,0.67,1,
MAS,2021-07-29,1.14,1.04,1,
MAS,2021-10-27,0.99,0.88,1,
MAS,2022-02-08,0.67,0.69,0,
MAS,2022-04-27,0.95,0.85,1,
MAS,2022-07-28,1.14,1.19,0,
MAS,2022-10-26,0.98,1.06,0,
MAS,2023-02-09,0.65,0.67,0,
MAS,2023-04-26,0.87,0.63,1,
MAS,2023-07-27,1.19,0.96,1,
MAS,2023-10-26,1.0,0.91,1,
MAS,2024-02-08,0.83,0.66,1,
MAS,2024-04-24,0.93,0.88,1,2091000000.0
MAS,2024-07-25,1.2,1.18,1,1983000000.0
MAS,2024-10-29,1.08,1.08,0,1828000000.0
MAS,2025-02-11,0.89,0.87,1,1801000000.0
MAS,2025-04-23,0.87,0.92,0,2051000000.0
