Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MCHP,2015-11-04,0.33,0.31,1,
MCHP,2016-02-03,0.32,0.31,1,
MCHP,2016-05-04,0.35,0.34,1,
MCHP,2016-08-08,0.42,0.37,1,
MCHP,2016-11-07,0.47,0.43,1,
MCHP,2017-02-07,0.53,0.43,1,
MCHP,2017-05-09,0.58,0.53,1,
MCHP,2017-08-03,0.66,0.61,1,
MCHP,2017-11-06,0.71,0.68,1,
MCHP,2018-02-06,1.36,1.35,1,
MCHP,2018-05-08,0.7,0.67,1,
MCHP,2018-08-09,0.81,0.74,1,
MCHP,2018-11-07,0.91,0.86,1,
MCHP,2019-02-05,0.83,0.79,1,
MCHP,2019-05-07,0.74,0.7,1,
MCHP,2019-08-06,0.71,0.69,1,
MCHP,2019-11-05,0.72,0.72,0,
MCHP,2020-02-04,0.66,0.63,1,
MCHP,2020-05-07,0.73,0.68,1,
MCHP,2020-08-04,0.78,0.72,1,
MCHP,2020-11-05,0.78,0.71,1,
MCHP,2021-02-04,0.81,0.79,1,
MCHP,2021-05-06,0.93,0.87,1,
MCHP,2021-08-03,0.99,0.95,1,
MCHP,2021-11-04,1.07,1.06,1,
MCHP,2022-02-03,1.2,1.17,1,
MCHP,2022-05-09,1.35,1.25,1,
MCHP,2022-08-02,1.37,1.34,1,
MCHP,2022-11-03,1.46,1.44,1,
MCHP,2023-02-02,1.56,1.55,1,
MCHP,2023-05-04,1.64,1.62,1,
MCHP,2023-08-03,1.64,1.64,0,
MCHP,2023-11-02,1.62,1.62,0,
MCHP,2024-02-01,1.08,1.04,1,
MCHP,2024-05-06,0.57,0.57,0,1241300000.0
MCHP,2024-08-01,0.53,0.52,1,1241300000.0
MCHP,2024-11-05,0.46,0.43,1,1026000000.0
MCHP,2025-02-06,0.2,0.27,0,970500000.0
MCHP,2025-05-08,0.11,0.11,0,1075500000.0
