Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MCK,2015-10-29,3.31,2.99,1,
MCK,2016-01-27,3.18,3.13,1,
MCK,2016-05-04,3.14,3.14,0,
MCK,2016-07-27,3.52,3.33,1,
MCK,2016-10-27,2.94,3.05,0,
MCK,2017-01-25,3.05,2.91,1,
MCK,2017-05-18,3.42,3.0,1,
MCK,2017-07-27,2.46,2.83,0,
MCK,2017-10-26,3.28,2.8,1,
MCK,2018-02-01,3.41,2.94,1,
MCK,2018-05-24,3.49,3.56,0,
MCK,2018-07-26,2.9,2.89,1,
MCK,2018-10-25,3.6,3.28,1,
MCK,2019-01-31,3.4,3.16,1,
MCK,2019-05-08,3.69,3.66,1,
MCK,2019-07-31,3.31,3.01,1,
MCK,2019-10-30,3.6,3.6,0,
MCK,2020-02-04,3.81,3.56,1,
MCK,2020-05-20,4.27,4.1,1,
MCK,2020-08-03,2.77,2.32,1,
MCK,2020-11-03,4.8,3.88,1,
MCK,2021-02-02,4.6,4.13,1,
MCK,2021-05-06,5.05,5.04,1,
MCK,2021-08-04,5.56,4.15,1,
MCK,2021-11-01,6.15,4.66,1,
MCK,2022-02-02,6.15,5.42,1,
MCK,2022-05-05,5.83,6.04,0,
MCK,2022-08-03,5.83,5.28,1,
MCK,2022-11-01,6.06,6.09,0,
MCK,2023-02-01,6.9,6.35,1,
MCK,2023-05-08,7.19,7.17,1,
MCK,2023-08-02,7.27,5.87,1,
MCK,2023-11-01,6.23,6.15,1,
MCK,2024-02-07,7.74,7.05,1,
MCK,2024-05-07,6.18,6.34,0,79283000000.0
MCK,2024-08-07,7.88,7.21,1,93651000000.0
MCK,2024-11-06,7.07,6.88,1,95294000000.0
MCK,2025-02-05,8.03,7.99,1,90823000000.0
MCK,2025-05-08,10.12,9.82,1,97827000000.0
