Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MCO,2015-10-30,1.11,1.07,1,
MCO,2016-02-05,1.09,1.05,1,
MCO,2016-04-29,0.93,1.06,0,
MCO,2016-07-22,1.3,1.27,1,
MCO,2016-10-21,1.34,1.2,1,
MCO,2017-02-17,1.23,1.24,0,
MCO,2017-05-05,1.47,1.24,1,
MCO,2017-07-21,1.51,1.34,1,
MCO,2017-11-03,1.52,1.4,1,
MCO,2018-02-09,1.51,1.45,1,
MCO,2018-04-27,2.02,1.8,1,
MCO,2018-07-27,2.04,1.89,1,
MCO,2018-10-26,1.69,1.78,0,
MCO,2019-02-15,1.63,1.67,0,
MCO,2019-04-24,2.07,1.93,1,
MCO,2019-07-31,2.07,2.0,1,
MCO,2019-10-30,2.15,2.0,1,
MCO,2020-02-12,2.0,1.93,1,
MCO,2020-04-30,2.73,2.22,1,
MCO,2020-07-30,2.81,2.23,1,
MCO,2020-10-29,2.69,2.1,1,
MCO,2021-02-12,1.91,1.97,0,
MCO,2021-04-28,4.06,2.82,1,
MCO,2021-07-28,3.22,2.78,1,
MCO,2021-10-28,2.69,2.54,1,
MCO,2022-02-10,2.33,2.39,0,
MCO,2022-05-02,2.89,2.9,0,
MCO,2022-07-26,2.22,2.3,0,
MCO,2022-10-25,1.85,2.06,0,
MCO,2023-01-31,1.6,1.44,1,
MCO,2023-04-25,2.99,2.2,1,
MCO,2023-07-25,2.3,2.24,1,
MCO,2023-10-25,2.43,2.3,1,
MCO,2024-02-13,2.19,2.32,0,
MCO,2024-05-02,3.37,3.04,1,1817000000.0
MCO,2024-07-23,3.28,3.02,1,1813000000.0
MCO,2024-10-22,3.21,2.86,1,1672000000.0
MCO,2025-02-13,2.62,2.59,1,1924000000.0
MCO,2025-04-22,3.83,3.53,1,1898000000.0
