Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MGM,2016-02-18,-0.06,0.01,0,
MGM,2016-05-05,0.12,0.11,1,
MGM,2016-08-04,0.3,0.23,1,
MGM,2016-11-07,0.35,0.11,1,
MGM,2017-02-16,0.11,0.21,0,
MGM,2017-04-27,0.38,0.29,1,
MGM,2017-07-27,0.3,0.3,0,
MGM,2017-11-08,0.34,0.34,0,
MGM,2018-04-26,0.33,0.29,1,
MGM,2018-08-02,0.26,0.29,0,
MGM,2018-10-30,0.25,0.19,1,
MGM,2019-02-13,-0.06,0.13,0,
MGM,2019-04-29,0.05,0.21,0,
MGM,2019-07-25,0.16,0.25,0,
MGM,2019-10-30,-0.08,0.29,0,
MGM,2020-02-12,0.08,0.26,0,
MGM,2020-04-23,-0.47,-0.32,0,
MGM,2020-04-30,1.64,-0.32,1,
MGM,2020-07-30,-1.67,-1.7,1,
MGM,2020-10-29,-1.08,-1.04,0,
MGM,2021-02-10,-0.92,-0.91,0,
MGM,2021-04-28,-0.69,-0.85,1,
MGM,2021-08-04,-0.13,-0.3,1,
MGM,2021-11-03,0.03,-0.01,1,
MGM,2022-02-09,0.12,0.02,1,
MGM,2022-05-02,0.01,-0.09,1,
MGM,2022-08-03,0.03,0.23,0,
MGM,2022-11-02,-1.39,0.24,0,
MGM,2023-02-08,-1.53,-1.36,0,
MGM,2023-05-01,0.44,0.1,1,
MGM,2023-08-02,0.59,0.54,1,
MGM,2023-11-08,0.64,0.49,1,
MGM,2024-02-13,1.06,0.71,1,
MGM,2024-05-01,0.74,0.56,1,
MGM,2024-07-31,0.86,0.62,1,4183138000.0
MGM,2024-10-30,0.54,0.61,0,4346562000.0
MGM,2025-02-12,0.45,0.3,1,4277082000.0
MGM,2025-04-30,0.69,0.46,1,4404870000.0
