Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MKC,2016-03-29,0.37,0.34,1,
MKC,2016-06-30,0.38,0.37,1,
MKC,2016-09-30,0.52,0.47,1,
MKC,2017-01-25,0.64,0.64,0,
MKC,2017-03-28,0.38,0.37,1,
MKC,2017-06-29,0.41,0.38,1,
MKC,2017-09-28,0.56,0.52,1,
MKC,2018-01-25,0.77,0.76,1,
MKC,2018-03-27,0.5,0.45,1,
MKC,2018-06-28,0.51,0.46,1,
MKC,2018-09-27,0.64,0.64,0,
MKC,2019-01-24,0.84,0.85,0,
MKC,2019-03-26,0.56,0.52,1,
MKC,2019-06-27,0.58,0.54,1,
MKC,2019-10-01,0.73,0.64,1,
MKC,2020-01-28,0.81,0.81,0,
MKC,2020-03-31,0.54,0.52,1,
MKC,2020-06-25,0.74,0.58,1,
MKC,2020-09-29,0.77,0.76,1,
MKC,2021-01-28,0.79,0.81,0,
MKC,2021-03-30,0.72,0.59,1,
MKC,2021-07-01,0.69,0.62,1,
MKC,2021-09-30,0.8,0.72,1,
MKC,2022-01-27,0.84,0.8,1,
MKC,2022-03-29,0.63,0.62,1,
MKC,2022-06-29,0.48,0.65,0,
MKC,2022-09-07,0.69,0.76,0,
MKC,2022-10-06,0.69,0.76,0,
MKC,2023-01-26,0.73,0.86,0,
MKC,2023-03-28,0.59,0.51,1,
MKC,2023-06-29,0.6,0.57,1,
MKC,2023-10-03,0.65,0.65,0,
MKC,2024-01-25,0.85,0.79,1,
MKC,2024-03-26,0.63,0.58,1,
MKC,2024-06-27,0.69,0.59,1,
MKC,2024-10-01,0.83,0.68,1,
MKC,2025-01-23,0.8,0.77,1,
MKC,2025-03-25,0.6,0.64,0,
MKC,2025-06-26,0.69,0.66,1,
