Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MO,2016-04-28,0.72,0.68,1,
MO,2016-07-27,0.81,0.8,1,
MO,2016-10-27,0.82,0.8,1,
MO,2017-02-01,0.68,0.67,1,
MO,2017-05-02,0.73,0.74,0,
MO,2017-07-27,0.85,0.86,0,
MO,2017-10-26,0.9,0.87,1,
MO,2018-02-01,0.91,0.8,1,
MO,2018-04-26,0.95,0.92,1,
MO,2018-07-26,1.01,1.0,1,
MO,2018-10-25,1.08,1.07,1,
MO,2019-01-31,0.95,0.95,0,
MO,2019-04-25,0.9,0.92,0,
MO,2019-07-30,1.1,1.11,0,
MO,2019-10-31,1.19,1.15,1,
MO,2020-01-30,1.02,1.02,0,
MO,2020-04-30,1.09,0.98,1,
MO,2020-07-28,1.09,1.06,1,
MO,2020-10-30,1.19,1.16,1,
MO,2021-01-28,0.99,1.02,0,
MO,2021-04-29,1.07,1.05,1,
MO,2021-07-29,1.23,1.18,1,
MO,2021-10-28,1.22,1.26,0,
MO,2022-01-27,1.09,1.08,1,
MO,2022-04-28,1.12,1.09,1,
MO,2022-07-28,1.26,1.25,1,
MO,2022-10-27,1.28,1.3,0,
MO,2023-02-01,1.18,1.17,1,
MO,2023-04-27,1.18,1.18,0,
MO,2023-08-01,1.31,1.3,1,
MO,2023-10-26,1.28,1.29,0,
MO,2024-02-01,1.18,1.17,1,
MO,2024-04-25,1.15,1.15,0,5277000000.0
MO,2024-07-31,1.31,1.34,0,5344000000.0
MO,2024-10-31,1.38,1.35,1,5106000000.0
MO,2025-01-30,1.29,1.29,0,4519000000.0
MO,2025-04-29,1.23,1.19,1,5290000000.0
