Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MPC,2015-10-29,1.94,1.82,1,
MPC,2016-02-03,0.79,0.69,1,
MPC,2016-04-28,0.06,0.15,0,
MPC,2016-07-28,1.07,0.97,1,
MPC,2016-10-27,0.58,0.81,0,
MPC,2017-02-01,0.43,0.26,1,
MPC,2017-04-27,0.06,-0.05,1,
MPC,2017-07-27,1.03,1.07,0,
MPC,2017-10-26,1.77,1.48,1,
MPC,2018-02-01,1.03,0.95,1,
MPC,2018-04-30,0.04,0.16,0,
MPC,2018-07-26,2.27,2.03,1,
MPC,2018-11-01,1.62,1.7,0,
MPC,2019-02-07,2.22,1.96,1,
MPC,2019-05-08,-0.09,0.05,0,
MPC,2019-08-01,1.73,1.32,1,
MPC,2019-10-31,1.63,1.38,1,
MPC,2020-01-29,1.56,0.86,1,
MPC,2020-05-05,-0.16,-0.21,1,
MPC,2020-08-03,-1.33,-1.75,1,
MPC,2020-11-02,-1.0,-1.7,1,
MPC,2021-02-02,-0.94,-1.41,1,
MPC,2021-05-04,-0.2,-0.71,1,
MPC,2021-08-04,0.67,0.39,1,
MPC,2021-11-02,0.73,0.71,1,
MPC,2022-02-02,1.3,0.56,1,
MPC,2022-05-03,1.49,1.11,1,
MPC,2022-08-02,10.61,8.04,1,
MPC,2022-11-01,7.81,7.07,1,
MPC,2023-01-31,6.65,5.67,1,
MPC,2023-05-02,6.09,5.74,1,
MPC,2023-08-01,5.32,4.59,1,
MPC,2023-10-31,8.14,7.75,1,
MPC,2024-01-30,3.98,2.2,1,
MPC,2024-04-30,2.58,2.42,1,37914000000.0
MPC,2024-08-06,4.12,3.09,1,35107000000.0
MPC,2024-11-05,1.87,0.98,1,33137000000.0
MPC,2025-02-04,0.77,0.02,1,31517000000.0
MPC,2025-05-06,-0.24,-0.53,1,33799000000.0
