Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MRNA,2019-03-06,-1.78,-0.36,0,
MRNA,2019-05-08,-0.4,-0.36,0,
MRNA,2019-08-07,-0.41,-0.44,1,
MRNA,2019-11-06,-0.37,-0.43,1,
MRNA,2020-02-26,-0.37,-0.42,1,
MRNA,2020-05-07,-0.35,-0.35,0,
MRNA,2020-08-05,-0.31,-0.35,1,
MRNA,2020-10-29,-0.59,-0.43,0,
MRNA,2021-02-25,-0.69,-0.35,0,
MRNA,2021-05-06,2.84,2.39,1,
MRNA,2021-08-05,6.46,5.96,1,
MRNA,2021-11-04,7.7,9.05,0,
MRNA,2022-02-24,11.29,9.9,1,
MRNA,2022-05-04,8.58,5.21,1,
MRNA,2022-08-03,5.24,4.55,1,
MRNA,2022-11-03,2.53,3.29,0,
MRNA,2023-02-23,3.61,4.68,0,
MRNA,2023-05-04,0.19,-1.77,1,
MRNA,2023-08-03,-3.62,-4.04,1,
MRNA,2023-11-02,-9.53,-1.93,0,
MRNA,2024-02-22,0.55,-0.97,1,
MRNA,2024-05-02,-3.07,-3.58,1,221000000.0
MRNA,2024-08-01,-3.33,-3.38,1,221000000.0
MRNA,2024-11-07,0.03,-1.91,1,956000000.0
MRNA,2025-02-14,-2.91,-2.68,0,107000000.0
MRNA,2025-05-01,-2.52,-3.14,1,107000000.0
