Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MSCI,2015-10-29,0.6,0.54,1,
MSCI,2016-02-04,0.66,0.59,1,
MSCI,2016-04-28,0.68,0.63,1,
MSCI,2016-07-28,0.77,0.72,1,
MSCI,2016-10-27,0.77,0.73,1,
MSCI,2017-02-02,0.81,0.75,1,
MSCI,2017-05-04,0.88,0.85,1,
MSCI,2017-08-02,0.95,0.9,1,
MSCI,2017-11-02,1.0,0.97,1,
MSCI,2018-02-01,1.15,1.0,1,
MSCI,2018-05-03,1.31,1.26,1,
MSCI,2018-08-02,1.3,1.28,1,
MSCI,2018-11-01,1.35,1.29,1,
MSCI,2019-01-31,1.31,1.3,1,
MSCI,2019-05-02,1.55,1.41,1,
MSCI,2019-08-01,1.54,1.51,1,
MSCI,2019-10-31,1.68,1.59,1,
MSCI,2020-01-30,1.67,1.61,1,
MSCI,2020-04-28,1.9,1.68,1,
MSCI,2020-07-28,1.77,1.68,1,
MSCI,2020-10-27,2.2,1.81,1,
MSCI,2021-01-28,1.96,1.95,1,
MSCI,2021-04-27,2.46,2.26,1,
MSCI,2021-07-27,2.45,2.3,1,
MSCI,2021-10-26,2.53,2.41,1,
MSCI,2022-01-27,2.51,2.49,1,
MSCI,2022-04-26,2.98,2.8,1,
MSCI,2022-07-26,2.78,2.68,1,
MSCI,2022-10-25,2.85,2.71,1,
MSCI,2023-01-31,2.84,2.76,1,
MSCI,2023-04-25,3.14,2.99,1,
MSCI,2023-07-25,3.26,3.11,1,
MSCI,2023-10-31,3.45,3.32,1,
MSCI,2024-01-30,3.68,3.29,1,
MSCI,2024-04-23,3.52,3.45,1,707949000.0
MSCI,2024-07-23,3.64,3.55,1,724705000.0
MSCI,2024-10-29,3.86,3.77,1,743509000.0
MSCI,2025-01-29,4.18,3.95,1,745826000.0
MSCI,2025-04-22,4.0,3.91,1,772679000.0
