Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
MTD,2016-05-05,2.46,2.44,1,
MTD,2016-07-28,3.22,3.13,1,
MTD,2016-11-03,3.89,3.66,1,
MTD,2017-02-02,5.28,5.12,1,
MTD,2017-05-04,3.34,3.09,1,
MTD,2017-07-27,3.92,3.9,1,
MTD,2017-11-02,4.36,4.33,1,
MTD,2018-02-08,5.97,5.93,1,
MTD,2018-05-03,3.74,3.73,1,
MTD,2018-07-26,4.65,4.58,1,
MTD,2018-11-08,5.12,5.0,1,
MTD,2019-02-07,6.85,6.75,1,
MTD,2019-05-09,4.1,4.05,1,
MTD,2019-08-01,5.16,5.08,1,
MTD,2019-11-07,5.77,5.71,1,
MTD,2020-02-06,7.78,7.68,1,
MTD,2020-05-07,4.0,3.89,1,
MTD,2020-07-30,5.29,4.2,1,
MTD,2020-11-05,7.02,5.95,1,
MTD,2021-02-04,9.26,8.72,1,
MTD,2021-05-06,6.56,5.61,1,
MTD,2021-07-29,8.1,7.62,1,
MTD,2021-11-04,8.72,8.24,1,
MTD,2022-02-10,10.53,10.08,1,
MTD,2022-05-05,7.87,7.25,1,
MTD,2022-07-28,9.39,8.76,1,
MTD,2022-11-03,10.18,9.83,1,
MTD,2023-02-09,12.1,11.66,1,
MTD,2023-05-04,8.69,8.6,1,
MTD,2023-07-27,10.19,9.97,1,
MTD,2023-11-09,9.8,9.74,1,
MTD,2024-02-08,9.4,10.1,0,
MTD,2024-05-09,8.89,7.64,1,946750000.0
MTD,2024-08-01,9.65,9.03,1,946750000.0
MTD,2024-11-07,10.21,10.01,1,1045127000.0
MTD,2025-02-06,12.41,11.71,1,883744000.0
MTD,2025-05-01,8.19,7.89,1,883744000.0
