Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NEE,2015-10-28,0.4,0.41,0,
NEE,2016-01-28,0.29,0.27,1,
NEE,2016-04-28,0.39,0.35,1,
NEE,2016-07-27,0.42,0.39,1,
NEE,2016-10-31,0.44,0.42,1,
NEE,2017-01-27,0.3,0.32,0,
NEE,2017-04-21,0.44,0.39,1,
NEE,2017-07-26,0.47,0.44,1,
NEE,2017-10-26,0.46,0.44,1,
NEE,2018-01-26,0.31,0.33,0,
NEE,2018-04-24,0.49,0.46,1,
NEE,2018-07-25,0.53,0.52,1,
NEE,2018-10-23,0.55,0.54,1,
NEE,2019-01-25,0.37,0.38,0,
NEE,2019-04-23,0.55,0.51,1,
NEE,2019-07-24,0.59,0.58,1,
NEE,2019-10-22,0.6,0.57,1,
NEE,2020-01-24,0.36,0.37,0,
NEE,2020-04-22,0.6,0.56,1,
NEE,2020-07-24,0.65,0.63,1,
NEE,2020-10-21,0.67,0.65,1,
NEE,2021-01-26,0.4,0.37,1,
NEE,2021-04-21,0.67,0.59,1,
NEE,2021-07-23,0.71,0.7,1,
NEE,2021-10-20,0.75,0.71,1,
NEE,2022-01-25,0.41,0.4,1,
NEE,2022-04-21,0.74,0.71,1,
NEE,2022-07-22,0.81,0.73,1,
NEE,2022-10-28,0.85,0.8,1,
NEE,2023-01-25,0.51,0.49,1,
NEE,2023-04-25,0.84,0.72,1,
NEE,2023-07-25,0.88,0.82,1,
NEE,2023-10-24,0.94,0.87,1,
NEE,2024-01-25,0.52,0.49,1,
NEE,2024-04-23,0.91,0.78,1,6069000000.0
NEE,2024-07-24,0.96,0.98,0,7567000000.0
NEE,2024-10-23,1.03,0.98,1,5385000000.0
NEE,2025-01-24,0.53,0.53,0,6247000000.0
NEE,2025-04-23,0.99,0.97,1,6700000000.0
