Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NEM,2015-10-28,0.23,0.17,1,
NEM,2016-02-17,0.04,0.12,0,
NEM,2016-04-20,0.34,0.2,1,
NEM,2016-07-20,0.44,0.3,1,
NEM,2016-10-26,0.38,0.5,0,
NEM,2017-02-21,0.25,0.33,0,
NEM,2017-04-24,0.25,0.22,1,
NEM,2017-07-25,0.46,0.26,1,
NEM,2017-10-26,0.35,0.33,1,
NEM,2018-02-22,0.4,0.38,1,
NEM,2018-04-26,0.35,0.33,1,
NEM,2018-07-26,0.26,0.24,1,
NEM,2018-10-25,0.33,0.19,1,
NEM,2019-02-21,0.4,0.25,1,
NEM,2019-04-25,0.33,0.27,1,
NEM,2019-07-25,0.12,0.23,0,
NEM,2019-11-05,0.36,0.39,0,
NEM,2020-02-20,0.5,0.48,1,
NEM,2020-05-05,0.4,0.42,0,
NEM,2020-07-30,0.32,0.31,1,
NEM,2020-10-29,0.87,0.85,1,
NEM,2021-02-18,1.06,0.95,1,
NEM,2021-04-29,0.74,0.77,0,
NEM,2021-07-22,0.83,0.78,1,
NEM,2021-10-28,0.6,0.74,0,
NEM,2022-02-24,0.78,0.77,1,
NEM,2022-04-22,0.69,0.71,0,
NEM,2022-07-25,0.46,0.63,0,
NEM,2022-11-01,0.27,0.36,0,
NEM,2023-02-23,0.44,0.46,0,
NEM,2023-04-27,0.4,0.33,1,
NEM,2023-07-20,0.33,0.44,0,
NEM,2023-10-26,0.36,0.43,0,
NEM,2024-02-22,0.5,0.46,1,
NEM,2024-04-25,0.55,0.36,1,4402000000.0
NEM,2024-07-24,0.72,0.62,1,4605000000.0
NEM,2024-10-23,0.81,0.86,0,5652000000.0
NEM,2025-02-20,1.4,1.08,1,5010000000.0
NEM,2025-04-23,1.25,0.9,1,5317000000.0
