Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NFLX,2015-10-14,0.07,0.08,0,
NFLX,2016-01-19,0.07,0.02,1,
NFLX,2016-04-18,0.06,0.03,1,
NFLX,2016-07-18,0.09,0.02,1,
NFLX,2016-10-17,0.12,0.06,1,
NFLX,2017-01-18,0.15,0.13,1,
NFLX,2017-04-17,0.4,0.37,1,
NFLX,2017-07-17,0.15,0.15,0,
NFLX,2017-10-16,0.29,0.32,0,
NFLX,2018-01-22,0.41,0.41,0,
NFLX,2018-04-16,0.64,0.64,0,
NFLX,2018-07-16,0.85,0.79,1,
NFLX,2018-10-16,0.89,0.68,1,
NFLX,2019-01-17,0.3,0.24,1,
NFLX,2019-04-16,0.76,0.57,1,
NFLX,2019-07-17,0.6,0.56,1,
NFLX,2019-10-16,1.47,1.04,1,
NFLX,2020-01-21,1.3,0.53,1,
NFLX,2020-04-21,1.57,1.65,0,
NFLX,2020-07-16,1.59,1.81,0,
NFLX,2020-10-20,1.74,2.14,0,
NFLX,2021-01-19,1.19,1.39,0,
NFLX,2021-04-20,3.75,2.97,1,
NFLX,2021-07-20,2.97,3.16,0,
NFLX,2021-10-19,3.19,2.56,1,
NFLX,2022-01-20,1.33,0.82,1,
NFLX,2022-04-19,3.53,2.89,1,
NFLX,2022-07-19,3.2,2.94,1,
NFLX,2022-10-18,3.1,2.13,1,
NFLX,2023-01-19,0.12,0.45,0,
NFLX,2023-04-18,2.88,2.86,1,
NFLX,2023-07-19,3.29,2.86,1,
NFLX,2023-10-18,3.73,3.49,1,
NFLX,2024-01-23,2.11,2.22,0,
NFLX,2024-04-18,5.28,4.52,1,9559310000.0
NFLX,2024-07-18,4.88,4.74,1,9824703000.0
NFLX,2024-10-17,5.4,5.12,1,10246513000.0
NFLX,2025-01-21,4.27,4.2,1,10542801000.0
NFLX,2025-04-17,6.61,5.71,1,11079166000.0
