Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NI,2015-11-03,0.06,0.03,1,
NI,2016-02-18,0.31,0.3,1,
NI,2016-05-03,0.6,0.59,1,
NI,2016-08-02,0.08,0.07,1,
NI,2016-11-01,0.06,0.07,0,
NI,2017-02-22,0.33,0.34,0,
NI,2017-05-03,0.71,0.67,1,
NI,2017-08-02,0.1,0.1,0,
NI,2017-11-01,0.07,0.07,0,
NI,2018-02-20,0.33,0.32,1,
NI,2018-05-02,0.77,0.76,1,
NI,2018-08-01,0.07,0.09,0,
NI,2018-11-01,0.1,0.06,1,
NI,2019-02-20,0.38,0.36,1,
NI,2019-05-01,0.82,0.77,1,
NI,2019-07-31,0.05,0.06,0,
NI,2020-02-26,0.45,0.43,1,
NI,2020-05-06,0.76,0.8,0,
NI,2020-08-05,0.13,0.08,1,
NI,2020-11-02,0.09,0.03,1,
NI,2021-02-17,0.34,0.33,1,
NI,2021-05-05,0.77,0.77,0,
NI,2021-08-04,0.13,0.13,0,
NI,2021-11-03,0.11,0.09,1,
NI,2022-02-23,0.39,0.36,1,
NI,2022-05-04,0.75,0.78,0,
NI,2022-08-03,0.12,0.12,0,
NI,2022-11-07,0.1,0.11,0,
NI,2023-02-22,0.5,0.48,1,
NI,2023-05-03,0.77,0.75,1,
NI,2023-08-02,0.11,0.11,0,
NI,2023-11-01,0.19,0.16,1,
NI,2024-02-21,0.53,0.54,0,
NI,2024-05-08,0.85,0.83,1,1084700000.0
NI,2024-08-07,0.21,0.17,1,1076300000.0
NI,2024-10-30,0.2,0.16,1,1587800000.0
NI,2025-02-12,0.49,0.48,1,2183200000.0
NI,2025-05-07,0.98,0.9,1,1283000000.0
