Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NOC,2015-10-28,2.75,2.19,1,
NOC,2016-01-28,2.49,2.01,1,
NOC,2016-04-27,2.59,2.49,1,
NOC,2016-07-27,2.85,2.53,1,
NOC,2016-10-26,2.92,2.81,1,
NOC,2017-01-26,2.96,2.49,1,
NOC,2017-04-26,3.63,2.93,1,
NOC,2017-07-26,3.15,2.87,1,
NOC,2017-10-25,3.42,2.92,1,
NOC,2018-01-25,2.82,2.74,1,
NOC,2018-04-25,4.21,3.61,1,
NOC,2018-07-25,3.93,3.83,1,
NOC,2018-10-24,5.8,4.37,1,
NOC,2019-01-31,4.93,4.32,1,
NOC,2019-04-24,5.06,4.59,1,
NOC,2019-07-24,5.06,4.68,1,
NOC,2019-10-24,5.49,4.77,1,
NOC,2020-01-30,5.61,4.77,1,
NOC,2020-04-29,5.48,5.51,0,
NOC,2020-07-30,6.01,5.32,1,
NOC,2020-10-22,5.89,5.62,1,
NOC,2021-01-28,6.59,5.76,1,
NOC,2021-04-29,6.57,5.48,1,
NOC,2021-07-29,6.42,5.84,1,
NOC,2021-10-28,6.63,5.99,1,
NOC,2022-01-27,6.0,5.96,1,
NOC,2022-04-28,6.1,5.96,1,
NOC,2022-07-28,6.39,6.1,1,
NOC,2022-10-27,5.89,6.11,0,
NOC,2023-01-26,7.5,6.57,1,
NOC,2023-04-27,5.5,5.09,1,
NOC,2023-07-27,5.34,5.33,1,
NOC,2023-10-26,6.18,5.81,1,
NOC,2024-01-25,6.27,5.8,1,
NOC,2024-04-25,6.32,5.79,1,10218000000.0
NOC,2024-07-25,6.36,5.93,1,9996000000.0
NOC,2024-10-24,7.0,6.07,1,10686000000.0
NOC,2025-01-30,6.39,6.35,1,9468000000.0
NOC,2025-04-22,6.06,6.25,0,10351000000.0
