Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NOW,2015-10-21,0.15,0.08,1,
NOW,2016-01-27,0.19,0.08,1,
NOW,2016-04-20,0.09,0.07,1,
NOW,2016-07-27,0.15,0.09,1,
NOW,2016-10-26,0.23,0.21,1,
NOW,2017-01-25,0.24,0.23,1,
NOW,2017-04-26,0.24,0.17,1,
NOW,2017-07-26,0.22,0.2,1,
NOW,2017-10-25,0.38,0.32,1,
NOW,2018-01-31,0.35,0.35,0,
NOW,2018-04-25,0.56,0.37,1,
NOW,2018-07-25,0.49,0.43,1,
NOW,2018-10-24,0.68,0.59,1,
NOW,2019-01-30,0.77,0.63,1,
NOW,2019-04-24,0.67,0.54,1,
NOW,2019-07-24,0.71,0.63,1,
NOW,2019-10-23,0.99,0.88,1,
NOW,2020-01-29,0.96,0.87,1,
NOW,2020-04-29,1.05,0.95,1,
NOW,2020-07-29,1.23,1.01,1,
NOW,2020-10-28,1.21,1.03,1,
NOW,2021-01-27,1.17,1.05,1,
NOW,2021-04-28,1.52,1.34,1,
NOW,2021-07-28,1.42,1.22,1,
NOW,2021-10-27,1.55,1.38,1,
NOW,2022-01-26,1.46,1.43,1,
NOW,2022-04-27,1.73,1.7,1,
NOW,2022-07-27,1.62,1.54,1,
NOW,2022-10-26,1.96,1.84,1,
NOW,2023-01-25,2.28,2.02,1,
NOW,2023-04-26,2.37,2.04,1,
NOW,2023-07-26,2.37,2.06,1,
NOW,2023-10-24,2.92,2.56,1,
NOW,2024-01-24,3.11,2.79,1,
NOW,2024-04-24,3.41,3.14,1,2627000000.0
NOW,2024-07-24,3.13,2.84,1,2797000000.0
NOW,2024-10-23,3.72,3.46,1,2957000000.0
NOW,2025-01-29,3.67,3.67,0,3088000000.0
NOW,2025-04-23,4.04,3.83,1,3215000000.0
