Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NRG,2015-11-04,0.65,0.76,0,
NRG,2016-02-29,-0.56,0.05,0,
NRG,2016-05-05,0.24,0.06,1,
NRG,2016-08-09,-0.25,0.2,0,
NRG,2016-11-04,0.64,0.93,0,
NRG,2017-02-28,-0.16,-0.29,1,
NRG,2017-05-02,-0.51,-0.28,0,
NRG,2017-08-03,0.36,-0.09,1,
NRG,2017-11-02,0.61,0.94,0,
NRG,2018-03-01,0.25,0.26,0,
NRG,2018-05-03,0.87,0.14,1,
NRG,2018-08-02,0.19,0.79,0,
NRG,2018-11-08,0.96,1.31,0,
NRG,2019-02-28,-0.18,0.03,0,
NRG,2019-05-02,0.34,0.41,0,
NRG,2019-08-07,0.7,0.76,0,
NRG,2019-11-07,1.88,2.1,0,
NRG,2020-02-27,0.43,0.59,0,
NRG,2020-05-07,0.53,0.49,1,
NRG,2020-08-06,1.27,1.17,1,
NRG,2020-11-05,1.02,1.64,0,
NRG,2021-03-01,-0.71,0.41,0,
NRG,2021-05-06,3.61,0.13,1,
NRG,2021-08-05,4.4,1.38,1,
NRG,2021-11-04,6.6,2.25,1,
NRG,2022-02-24,-1.73,0.12,0,
NRG,2022-05-06,7.17,0.6,1,
NRG,2022-08-04,2.16,0.65,1,
NRG,2022-11-07,0.29,1.43,0,
NRG,2023-02-16,-4.45,-1.33,0,
NRG,2023-05-04,-5.82,1.05,0,
NRG,2023-08-08,1.25,2.47,0,
NRG,2023-11-02,1.41,4.04,0,
NRG,2024-02-28,2.02,3.01,0,
NRG,2024-05-07,2.31,0.66,1,6659000000.0
NRG,2024-08-08,3.37,1.55,1,7223000000.0
NRG,2024-11-08,1.9,2.0,0,6819000000.0
NRG,2025-02-26,1.52,1.29,1,8585000000.0
NRG,2025-05-12,2.68,1.49,1,6740000000.0
