Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NSC,2015-10-28,1.57,1.41,1,
NSC,2016-01-27,1.2,1.23,0,
NSC,2016-04-21,1.29,0.97,1,
NSC,2016-07-27,1.36,1.35,1,
NSC,2016-10-26,1.55,1.45,1,
NSC,2017-01-25,1.42,1.36,1,
NSC,2017-04-26,1.48,1.36,1,
NSC,2017-07-26,1.71,1.65,1,
NSC,2017-10-25,1.75,1.64,1,
NSC,2018-01-24,1.69,1.57,1,
NSC,2018-04-25,1.93,1.77,1,
NSC,2018-07-25,2.5,2.33,1,
NSC,2018-10-24,2.52,2.44,1,
NSC,2019-01-24,2.57,2.29,1,
NSC,2019-04-24,2.51,2.18,1,
NSC,2019-07-24,2.7,2.79,0,
NSC,2019-10-23,2.49,2.59,0,
NSC,2020-01-29,2.55,2.28,1,
NSC,2020-04-29,2.58,2.25,1,
NSC,2020-07-29,1.53,1.33,1,
NSC,2020-10-28,2.51,2.38,1,
NSC,2021-01-27,2.63,2.48,1,
NSC,2021-04-28,2.66,2.54,1,
NSC,2021-07-28,3.28,2.96,1,
NSC,2021-10-27,3.06,2.91,1,
NSC,2022-01-26,3.12,3.04,1,
NSC,2022-04-27,2.93,2.92,1,
NSC,2022-07-27,3.45,3.47,0,
NSC,2022-10-26,4.1,3.64,1,
NSC,2023-01-25,3.42,3.44,0,
NSC,2023-04-26,3.32,3.12,1,
NSC,2023-07-27,2.95,3.11,0,
NSC,2023-10-25,2.65,2.69,0,
NSC,2024-01-26,2.83,2.87,0,
NSC,2024-04-24,2.49,2.6,0,3044000000.0
NSC,2024-07-25,3.06,2.86,1,3051000000.0
NSC,2024-10-22,3.25,3.11,1,3024000000.0
NSC,2025-01-29,3.04,2.95,1,2993000000.0
NSC,2025-04-23,2.69,2.69,0,3110000000.0
