Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NTAP,2015-11-18,0.61,0.57,1,
NTAP,2016-02-17,0.7,0.68,1,
NTAP,2016-05-25,0.55,0.58,0,
NTAP,2016-08-17,0.46,0.36,1,
NTAP,2016-11-16,0.6,0.54,1,
NTAP,2017-02-15,0.82,0.74,1,
NTAP,2017-05-24,0.86,0.82,1,
NTAP,2017-08-16,0.62,0.55,1,
NTAP,2017-11-15,0.81,0.69,1,
NTAP,2018-02-14,0.99,0.91,1,
NTAP,2018-05-23,1.05,1.01,1,
NTAP,2018-08-15,1.04,0.8,1,
NTAP,2018-11-14,1.06,0.99,1,
NTAP,2019-02-13,1.2,1.15,1,
NTAP,2019-05-22,1.22,1.26,0,
NTAP,2019-08-14,0.65,0.58,1,
NTAP,2019-11-13,1.09,0.94,1,
NTAP,2020-02-12,1.16,1.18,0,
NTAP,2020-05-27,1.19,1.04,1,
NTAP,2020-08-26,0.73,0.41,1,
NTAP,2020-12-01,1.05,0.73,1,
NTAP,2021-02-24,1.1,1.01,1,
NTAP,2021-06-02,1.17,1.12,1,
NTAP,2021-08-25,1.15,0.95,1,
NTAP,2021-11-30,1.28,1.21,1,
NTAP,2022-02-23,1.44,1.28,1,
NTAP,2022-06-01,1.42,1.28,1,
NTAP,2022-08-24,1.2,1.1,1,
NTAP,2022-11-29,1.48,1.33,1,
NTAP,2023-02-22,1.37,1.31,1,
NTAP,2023-05-31,1.54,1.34,1,
NTAP,2023-08-23,1.15,1.07,1,
NTAP,2023-11-28,1.58,1.39,1,
NTAP,2024-02-29,1.94,1.69,1,
NTAP,2024-05-30,1.8,1.79,1,
NTAP,2024-08-28,1.56,1.45,1,
NTAP,2024-11-21,1.87,1.78,1,
NTAP,2025-02-27,1.91,1.91,0,
NTAP,2025-05-29,1.93,1.9,1,
