Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
NTRS,2015-10-21,0.96,0.96,0,
NTRS,2016-01-20,0.99,0.91,1,
NTRS,2016-04-19,1.01,0.95,1,
NTRS,2016-07-20,1.06,1.06,0,
NTRS,2016-10-19,1.11,1.09,1,
NTRS,2017-01-18,1.11,1.12,0,
NTRS,2017-04-25,1.09,1.07,1,
NTRS,2017-07-19,1.18,1.23,0,
NTRS,2017-10-18,1.23,1.12,1,
NTRS,2018-01-24,1.33,1.31,1,
NTRS,2018-04-17,1.55,1.4,1,
NTRS,2018-07-18,1.68,1.63,1,
NTRS,2018-10-17,1.58,1.61,0,
NTRS,2019-01-23,1.67,1.64,1,
NTRS,2019-04-23,1.48,1.47,1,
NTRS,2019-07-24,1.75,1.68,1,
NTRS,2019-10-23,1.69,1.63,1,
NTRS,2020-01-22,1.8,1.74,1,
NTRS,2020-04-21,1.55,1.45,1,
NTRS,2020-07-22,1.46,1.37,1,
NTRS,2020-10-21,1.48,1.38,1,
NTRS,2021-01-21,1.49,1.49,0,
NTRS,2021-04-20,1.7,1.49,1,
NTRS,2021-07-21,1.79,1.71,1,
NTRS,2021-10-20,1.8,1.67,1,
NTRS,2022-01-20,1.91,1.81,1,
NTRS,2022-04-26,1.77,1.64,1,
NTRS,2022-07-20,1.86,1.93,0,
NTRS,2022-10-19,1.8,1.84,0,
NTRS,2023-01-19,0.71,1.8,0,
NTRS,2023-04-25,1.51,1.52,0,
NTRS,2023-07-19,1.56,1.62,0,
NTRS,2023-10-18,1.49,1.5,0,
NTRS,2024-01-18,1.46,1.21,1,
NTRS,2024-04-16,1.69,1.44,1,2715500000.0
NTRS,2024-07-17,1.78,1.91,0,1968500000.0
NTRS,2024-10-23,1.97,1.74,1,1959600000.0
NTRS,2025-01-23,2.26,2.02,1,1939900000.0
NTRS,2025-04-22,1.9,1.85,1,1997900000.0
