Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
OKE,2016-05-03,0.4,0.41,0,
OKE,2016-08-02,0.41,0.44,0,
OKE,2016-11-01,0.44,0.44,0,
OKE,2017-02-27,0.43,0.46,0,
OKE,2017-05-02,0.41,0.43,0,
OKE,2017-08-01,0.45,0.4,1,
OKE,2017-10-31,0.47,0.45,1,
OKE,2018-02-26,0.53,0.52,1,
OKE,2018-05-01,0.64,0.61,1,
OKE,2018-07-31,0.68,0.67,1,
OKE,2018-10-30,0.75,0.71,1,
OKE,2019-02-25,0.7,0.73,0,
OKE,2019-04-30,0.81,0.73,1,
OKE,2019-07-30,0.75,0.71,1,
OKE,2019-10-29,0.74,0.74,0,
OKE,2020-02-24,0.77,0.77,0,
OKE,2020-04-28,0.83,0.8,1,
OKE,2020-07-28,0.32,0.51,0,
OKE,2020-10-27,0.7,0.61,1,
OKE,2021-02-22,0.69,0.73,0,
OKE,2021-04-27,0.86,0.77,1,
OKE,2021-08-03,0.77,0.75,1,
OKE,2021-11-02,0.88,0.82,1,
OKE,2022-02-28,0.85,0.89,0,
OKE,2022-05-03,0.87,0.89,0,
OKE,2022-08-08,0.92,0.87,1,
OKE,2022-11-01,1.03,0.96,1,
OKE,2023-02-27,1.08,1.02,1,
OKE,2023-05-02,1.08,2.28,0,
OKE,2023-08-07,1.04,1.02,1,
OKE,2023-10-31,0.99,1.05,0,
OKE,2024-02-26,1.18,1.2,0,
OKE,2024-04-30,1.09,1.16,0,4894000000.0
OKE,2024-08-05,1.33,1.21,1,5023000000.0
OKE,2024-10-29,1.18,1.23,0,7000000000.0
OKE,2025-02-24,1.57,1.49,1,8043000000.0
OKE,2025-04-29,1.04,1.25,0,7887000000.0
