Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ORCL,2015-12-16,0.63,0.6,1,
ORCL,2016-03-15,0.64,0.62,1,
ORCL,2016-06-16,0.81,0.81,0,
ORCL,2016-09-15,0.55,0.58,0,
ORCL,2016-12-15,0.61,0.6,1,
ORCL,2017-03-15,0.69,0.62,1,
ORCL,2017-06-21,0.89,0.78,1,
ORCL,2017-09-14,0.62,0.6,1,
ORCL,2017-12-14,0.7,0.68,1,
ORCL,2018-03-19,0.83,0.72,1,
ORCL,2018-06-19,0.99,0.94,1,
ORCL,2018-09-17,0.71,0.69,1,
ORCL,2018-12-17,0.8,0.78,1,
ORCL,2019-03-14,0.87,0.84,1,
ORCL,2019-06-19,1.16,1.07,1,
ORCL,2019-09-11,0.81,0.81,0,
ORCL,2019-12-12,0.9,0.88,1,
ORCL,2020-03-12,0.97,0.96,1,
ORCL,2020-06-16,1.2,1.15,1,
ORCL,2020-09-10,0.93,0.86,1,
ORCL,2020-12-10,1.06,1.0,1,
ORCL,2021-03-10,1.16,1.11,1,
ORCL,2021-06-15,1.54,1.31,1,
ORCL,2021-09-13,1.03,0.97,1,
ORCL,2021-12-09,1.21,1.11,1,
ORCL,2022-03-10,1.13,1.18,0,
ORCL,2022-06-13,1.54,1.37,1,
ORCL,2022-09-12,1.03,1.07,0,
ORCL,2022-12-12,1.21,1.18,1,
ORCL,2023-03-09,1.22,1.2,1,
ORCL,2023-06-12,1.67,1.58,1,
ORCL,2023-09-11,1.19,1.15,1,
ORCL,2023-12-11,1.34,1.32,1,
ORCL,2024-03-11,1.41,1.38,1,
ORCL,2024-06-11,1.63,1.65,0,
ORCL,2024-09-09,1.39,1.32,1,
ORCL,2024-12-09,1.47,1.48,0,
ORCL,2025-03-10,1.47,1.49,0,
ORCL,2025-06-11,1.7,1.64,1,
