Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PANW,2015-11-23,0.12,0.11,1,
PANW,2016-02-25,0.13,0.13,0,
PANW,2016-05-26,0.14,0.14,0,
PANW,2016-08-30,0.17,0.17,0,
PANW,2016-11-21,0.18,0.17,1,
PANW,2017-02-28,0.21,0.21,0,
PANW,2017-05-31,0.2,0.18,1,
PANW,2017-08-31,0.31,0.26,1,
PANW,2017-11-20,0.25,0.23,1,
PANW,2018-02-26,0.29,0.26,1,
PANW,2018-06-04,0.33,0.32,1,
PANW,2018-09-06,0.43,0.39,1,
PANW,2018-11-29,0.39,0.35,1,
PANW,2019-02-26,0.5,0.41,1,
PANW,2019-05-29,0.44,0.42,1,
PANW,2019-09-04,0.49,0.47,1,
PANW,2019-11-25,0.35,0.34,1,
PANW,2020-02-24,0.4,0.37,1,
PANW,2020-05-21,0.39,0.31,1,
PANW,2020-08-24,0.49,0.46,1,
PANW,2020-11-16,0.54,0.44,1,
PANW,2021-02-22,0.52,0.48,1,
PANW,2021-05-20,0.46,0.43,1,
PANW,2021-08-23,0.53,0.48,1,
PANW,2021-11-18,0.55,0.52,1,
PANW,2022-02-22,0.58,0.55,1,
PANW,2022-05-19,0.6,0.56,1,
PANW,2022-08-22,0.8,0.76,1,
PANW,2022-11-17,0.83,0.69,1,
PANW,2023-02-21,1.05,0.78,1,
PANW,2023-05-23,1.1,0.93,1,
PANW,2023-08-18,1.44,1.28,1,
PANW,2023-11-15,1.38,1.16,1,
PANW,2024-02-20,1.46,1.3,1,
PANW,2024-05-20,1.32,1.25,1,
PANW,2024-08-19,1.51,1.41,1,
PANW,2024-11-20,0.78,0.74,1,
PANW,2025-02-13,0.81,0.78,1,
PANW,2025-05-20,0.8,0.77,1,
