Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PFG,2016-04-28,0.97,0.99,0,
PFG,2016-07-28,1.15,1.06,1,
PFG,2016-10-27,1.15,1.12,1,
PFG,2017-01-30,1.27,1.15,1,
PFG,2017-04-27,1.27,1.22,1,
PFG,2017-07-27,1.31,1.22,1,
PFG,2017-10-26,1.28,1.3,0,
PFG,2018-01-29,1.19,1.37,0,
PFG,2018-04-26,1.4,1.35,1,
PFG,2018-07-26,1.35,1.37,0,
PFG,2018-10-25,1.67,1.67,0,
PFG,2019-01-29,1.11,1.29,0,
PFG,2019-04-25,1.43,1.31,1,
PFG,2019-07-25,1.52,1.4,1,
PFG,2019-10-24,1.23,1.46,0,
PFG,2020-01-28,1.41,1.39,1,
PFG,2020-04-27,1.15,1.14,1,
PFG,2020-07-27,1.46,1.3,1,
PFG,2020-10-26,0.85,1.39,0,
PFG,2021-01-28,1.48,1.42,1,
PFG,2021-04-27,1.53,1.34,1,
PFG,2021-07-27,1.7,1.51,1,
PFG,2021-10-26,1.69,1.6,1,
PFG,2022-02-07,1.85,1.65,1,
PFG,2022-04-28,1.63,1.56,1,
PFG,2022-08-08,1.65,1.39,1,
PFG,2022-10-27,1.69,1.45,1,
PFG,2023-01-30,1.7,1.53,1,
PFG,2023-04-27,1.48,1.51,0,
PFG,2023-07-27,1.53,1.65,0,
PFG,2023-10-26,1.72,1.62,1,
PFG,2024-02-12,1.83,1.68,1,
PFG,2024-04-25,1.65,1.73,0,4310800000.0
PFG,2024-07-25,1.63,1.84,0,3011600000.0
PFG,2024-10-24,1.76,2.02,0,4752000000.0
PFG,2025-02-06,1.94,1.94,0,3695900000.0
PFG,2025-04-24,1.81,1.83,0,3671300000.0
