Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PGR,2016-04-14,0.42,0.5,0,
PGR,2016-07-14,0.29,0.33,0,
PGR,2016-10-13,0.36,0.33,1,
PGR,2017-01-25,0.63,0.51,1,
PGR,2017-04-18,0.67,0.69,0,
PGR,2017-07-18,0.59,0.6,0,
PGR,2017-10-17,0.41,0.34,1,
PGR,2018-01-24,0.82,0.77,1,
PGR,2018-04-17,1.29,1.19,1,
PGR,2018-07-17,1.15,1.11,1,
PGR,2018-10-16,1.33,1.11,1,
PGR,2019-01-23,1.24,1.01,1,
PGR,2019-04-16,1.33,1.37,0,
PGR,2019-07-17,1.42,1.43,0,
PGR,2019-10-16,1.33,1.31,1,
PGR,2020-01-29,1.18,1.16,1,
PGR,2020-04-15,1.91,1.52,1,
PGR,2020-07-15,1.84,1.74,1,
PGR,2020-10-14,1.89,1.72,1,
PGR,2021-01-27,1.83,1.67,1,
PGR,2021-04-15,1.72,1.72,0,
PGR,2021-07-15,0.72,1.08,0,
PGR,2021-10-14,0.14,0.21,0,
PGR,2022-01-26,0.9,1.0,0,
PGR,2022-05-02,1.1,1.15,0,
PGR,2022-07-15,1.07,0.93,1,
PGR,2022-10-13,0.49,0.89,0,
PGR,2023-01-25,1.52,1.43,1,
PGR,2023-04-13,0.63,1.37,0,
PGR,2023-07-13,0.79,0.87,0,
PGR,2023-10-13,2.09,1.72,1,
PGR,2024-01-24,2.97,2.43,1,
PGR,2024-04-12,3.75,3.21,1,18127000000.0
PGR,2024-07-16,2.65,2.02,1,19711800000.0
PGR,2024-10-15,3.59,3.67,0,20267400000.0
PGR,2025-01-29,4.08,3.58,1,20402000000.0
PGR,2025-04-16,4.65,4.8,0,21995000000.0
