Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PKG,2016-01-25,1.08,1.03,1,
PKG,2016-04-20,1.11,1.01,1,
PKG,2016-07-20,1.25,1.18,1,
PKG,2016-10-19,1.3,1.31,0,
PKG,2017-01-30,1.23,1.15,1,
PKG,2017-04-26,1.27,1.23,1,
PKG,2017-07-26,1.52,1.47,1,
PKG,2017-10-25,1.68,1.68,0,
PKG,2018-01-30,1.56,1.51,1,
PKG,2018-04-24,1.55,1.53,1,
PKG,2018-07-25,2.08,1.97,1,
PKG,2018-10-24,2.23,2.15,1,
PKG,2019-01-29,2.17,2.14,1,
PKG,2019-04-24,1.98,1.96,1,
PKG,2019-07-24,2.04,2.03,1,
PKG,2019-10-23,1.92,1.9,1,
PKG,2020-01-29,1.71,1.7,1,
PKG,2020-04-27,1.5,1.22,1,
PKG,2020-07-28,1.38,1.28,1,
PKG,2020-10-26,1.57,1.42,1,
PKG,2021-01-27,1.33,1.42,0,
PKG,2021-04-26,1.77,1.46,1,
PKG,2021-07-26,2.17,1.78,1,
PKG,2021-10-25,2.69,2.34,1,
PKG,2022-01-26,2.76,2.07,1,
PKG,2022-04-25,2.72,2.52,1,
PKG,2022-07-25,3.23,2.85,1,
PKG,2022-10-24,2.83,2.81,1,
PKG,2023-01-25,2.35,2.23,1,
PKG,2023-04-24,2.2,2.27,0,
PKG,2023-07-24,2.31,1.92,1,
PKG,2023-10-23,2.05,1.93,1,
PKG,2024-01-24,2.13,1.83,1,
PKG,2024-04-22,1.72,1.68,1,2075300000.0
PKG,2024-07-23,2.2,2.14,1,2182400000.0
PKG,2024-10-22,2.65,2.5,1,2146100000.0
PKG,2025-01-28,2.47,2.53,0,2141000000.0
PKG,2025-04-22,2.31,2.21,1,2171300000.0
