Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PLD,2015-10-20,0.49,0.19,1,
PLD,2016-01-26,0.23,0.13,1,
PLD,2016-04-19,0.39,0.1,1,
PLD,2016-07-19,0.52,0.15,1,
PLD,2016-10-20,0.52,0.31,1,
PLD,2017-01-24,0.82,0.26,1,
PLD,2017-04-18,0.38,0.24,1,
PLD,2017-07-18,0.5,0.45,1,
PLD,2017-10-17,0.57,0.37,1,
PLD,2018-01-23,0.55,0.34,1,
PLD,2018-04-17,0.68,0.37,1,
PLD,2018-07-17,0.62,0.38,1,
PLD,2018-10-16,0.6,0.35,1,
PLD,2019-01-22,0.94,0.42,1,
PLD,2019-04-16,0.55,0.33,1,
PLD,2019-07-15,0.6,0.36,1,
PLD,2019-10-15,0.71,0.48,1,
PLD,2020-01-22,0.59,0.39,1,
PLD,2020-04-21,0.7,0.3,1,
PLD,2020-07-21,0.54,0.46,1,
PLD,2020-10-20,0.4,0.31,1,
PLD,2021-01-26,0.38,0.36,1,
PLD,2021-04-19,0.49,0.41,1,
PLD,2021-07-19,0.81,0.44,1,
PLD,2021-10-15,0.97,0.52,1,
PLD,2022-01-19,1.67,0.61,1,
PLD,2022-04-19,1.54,0.55,1,
PLD,2022-07-18,0.82,0.62,1,
PLD,2022-10-19,1.36,1.22,1,
PLD,2023-01-18,0.63,0.56,1,
PLD,2023-04-18,0.5,0.53,0,
PLD,2023-07-18,1.31,1.0,1,
PLD,2023-10-17,0.8,0.57,1,
PLD,2024-01-17,0.68,0.55,1,
PLD,2024-04-17,0.63,0.56,1,2007954000.0
PLD,2024-07-17,0.92,0.59,1,2036389000.0
PLD,2024-10-16,1.08,0.63,1,2200646000.0
PLD,2025-01-21,1.37,0.64,1,2139665000.0
PLD,2025-04-16,0.63,0.6,1,2183869000.0
