Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PNW,2015-10-30,2.3,2.32,0,
PNW,2016-02-19,0.37,0.26,1,
PNW,2016-04-29,0.04,0.12,0,
PNW,2016-08-02,1.08,1.14,0,
PNW,2016-11-03,2.35,2.41,0,
PNW,2017-02-24,0.47,0.47,0,
PNW,2017-05-02,0.21,0.16,1,
PNW,2017-08-03,1.49,1.17,1,
PNW,2017-11-03,2.46,2.32,1,
PNW,2018-02-23,0.19,0.12,1,
PNW,2018-05-02,0.03,0.07,0,
PNW,2018-08-03,1.48,1.48,0,
PNW,2018-11-08,2.8,2.72,1,
PNW,2019-01-17,0.23,0.18,1,
PNW,2019-05-01,0.16,0.16,0,
PNW,2019-08-08,1.28,1.42,0,
PNW,2019-11-07,2.77,3.0,0,
PNW,2020-02-21,0.57,0.46,1,
PNW,2020-05-08,0.27,0.15,1,
PNW,2020-08-06,1.71,1.47,1,
PNW,2020-10-30,3.07,2.85,1,
PNW,2021-02-24,-0.17,0.04,0,
PNW,2021-05-05,0.32,0.25,1,
PNW,2021-08-05,1.91,1.65,1,
PNW,2021-11-05,3.0,2.79,1,
PNW,2022-02-25,0.24,0.06,1,
PNW,2022-05-04,0.15,0.06,1,
PNW,2022-08-03,1.45,1.32,1,
PNW,2022-11-03,2.88,2.6,1,
PNW,2023-02-27,-0.21,-0.18,0,
PNW,2023-05-04,-0.03,0.04,0,
PNW,2023-08-03,0.94,1.19,0,
PNW,2023-11-02,3.5,3.41,1,
PNW,2024-05-02,0.15,-0.01,1,1308994000.0
PNW,2024-08-01,1.76,1.25,1,1308994000.0
PNW,2024-11-06,3.37,3.49,0,1095408000.0
PNW,2025-02-25,-0.06,-0.14,1,1032280000.0
PNW,2025-05-01,-0.04,0.02,0,1032280000.0
