Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
PPL,2015-10-29,0.51,0.5,1,
PPL,2016-02-04,0.43,0.44,0,
PPL,2016-04-28,0.67,0.74,0,
PPL,2016-08-09,0.56,0.53,1,
PPL,2016-11-01,0.63,0.58,1,
PPL,2017-02-01,0.6,0.5,1,
PPL,2017-05-04,0.62,0.61,1,
PPL,2017-08-03,0.52,0.5,1,
PPL,2017-11-01,0.56,0.53,1,
PPL,2018-02-22,0.55,0.48,1,
PPL,2018-05-03,0.74,0.66,1,
PPL,2018-08-07,0.55,0.54,1,
PPL,2018-11-01,0.59,0.56,1,
PPL,2019-02-14,0.52,0.49,1,
PPL,2019-05-02,0.7,0.72,0,
PPL,2019-08-06,0.58,0.56,1,
PPL,2019-11-05,0.61,0.62,0,
PPL,2020-02-14,0.57,0.53,1,
PPL,2020-05-08,0.67,0.71,0,
PPL,2020-08-10,0.55,0.55,0,
PPL,2020-11-05,0.58,0.62,0,
PPL,2021-02-18,0.59,0.61,0,
PPL,2021-05-06,0.28,0.64,0,
PPL,2021-08-05,0.19,0.24,0,
PPL,2021-11-04,0.36,0.38,0,
PPL,2022-02-18,0.22,0.32,0,
PPL,2022-05-05,0.41,0.39,1,
PPL,2022-08-03,0.3,0.3,0,
PPL,2022-11-04,0.41,0.42,0,
PPL,2023-02-17,0.28,0.28,0,
PPL,2023-05-04,0.48,0.46,1,
PPL,2023-08-04,0.29,0.32,0,
PPL,2023-11-02,0.43,0.42,1,
PPL,2024-02-16,0.4,0.38,1,
PPL,2024-05-01,0.54,0.5,1,
PPL,2024-08-02,0.38,0.33,1,2066000000.0
PPL,2024-11-01,0.42,0.42,0,2066000000.0
PPL,2025-02-13,0.34,0.37,0,2504000000.0
PPL,2025-04-30,0.6,0.54,1,2025000000.0
