Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
QCOM,2015-11-04,0.91,0.86,1,
QCOM,2016-01-27,0.97,0.9,1,
QCOM,2016-04-20,1.04,0.96,1,
QCOM,2016-07-20,1.16,0.97,1,
QCOM,2016-11-02,1.28,1.13,1,
QCOM,2017-01-25,1.19,1.18,1,
QCOM,2017-04-19,1.34,1.19,1,
QCOM,2017-07-19,0.83,0.81,1,
QCOM,2017-11-01,0.92,0.81,1,
QCOM,2018-01-31,0.98,0.91,1,
QCOM,2018-04-25,0.8,0.68,1,
QCOM,2018-07-25,0.75,0.71,1,
QCOM,2018-11-07,0.9,0.83,1,
QCOM,2019-01-30,1.2,1.09,1,
QCOM,2019-05-01,0.77,0.72,1,
QCOM,2019-07-31,0.8,0.75,1,
QCOM,2019-11-06,0.78,0.71,1,
QCOM,2020-02-05,0.99,0.85,1,
QCOM,2020-04-29,0.88,0.78,1,
QCOM,2020-07-29,0.86,0.71,1,
QCOM,2020-11-04,1.45,1.17,1,
QCOM,2021-02-03,2.17,2.1,1,
QCOM,2021-04-28,1.9,1.67,1,
QCOM,2021-07-28,1.92,1.68,1,
QCOM,2021-11-03,2.55,2.26,1,
QCOM,2022-02-02,3.23,3.01,1,
QCOM,2022-04-27,3.21,2.91,1,
QCOM,2022-07-27,2.96,2.87,1,
QCOM,2022-11-02,3.13,3.13,0,
QCOM,2023-02-02,2.37,2.34,1,
QCOM,2023-05-03,2.15,2.15,0,
QCOM,2023-08-02,1.87,1.81,1,
QCOM,2023-11-01,2.02,1.91,1,
QCOM,2024-01-31,2.75,2.37,1,
QCOM,2024-05-01,2.44,2.32,1,
QCOM,2024-07-31,2.33,2.25,1,10244000000.0
QCOM,2024-11-06,2.69,2.56,1,11669000000.0
QCOM,2025-02-05,3.41,2.96,1,10979000000.0
QCOM,2025-04-30,2.85,2.82,1,10365000000.0
