Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
REGN,2015-11-04,3.47,3.2,1,
REGN,2016-02-09,2.83,3.36,0,
REGN,2016-05-05,2.57,2.58,0,
REGN,2016-08-04,2.82,2.65,1,
REGN,2016-11-04,3.13,2.71,1,
REGN,2017-02-09,3.04,3.03,1,
REGN,2017-05-04,2.92,3.06,0,
REGN,2017-08-03,4.17,3.17,1,
REGN,2017-11-08,3.99,3.85,1,
REGN,2018-02-08,5.23,4.53,1,
REGN,2018-05-03,4.67,4.35,1,
REGN,2018-08-02,5.45,4.7,1,
REGN,2018-11-06,5.87,5.13,1,
REGN,2019-02-06,6.84,5.6,1,
REGN,2019-05-07,4.45,5.47,0,
REGN,2019-08-06,6.02,5.41,1,
REGN,2019-11-05,6.67,6.36,1,
REGN,2020-02-06,7.5,6.91,1,
REGN,2020-05-05,6.6,6.13,1,
REGN,2020-08-05,7.16,5.98,1,
REGN,2020-11-05,8.36,7.14,1,
REGN,2021-02-05,9.53,8.39,1,
REGN,2021-05-06,9.89,9.0,1,
REGN,2021-08-05,25.8,17.53,1,
REGN,2021-11-04,14.37,10.1,1,
REGN,2022-02-04,21.32,18.35,1,
REGN,2022-05-04,8.93,9.74,0,
REGN,2022-08-03,9.77,8.84,1,
REGN,2022-11-03,11.14,9.48,1,
REGN,2023-02-03,12.56,10.03,1,
REGN,2023-05-04,10.09,9.56,1,
REGN,2023-08-03,10.24,9.84,1,
REGN,2023-11-02,11.59,10.72,1,
REGN,2024-02-02,11.86,10.73,1,
REGN,2024-05-02,9.55,10.09,0,3547100000.0
REGN,2024-08-01,11.56,10.61,1,3547100000.0
REGN,2024-10-31,12.46,11.69,1,3789200000.0
REGN,2025-02-04,12.07,11.28,1,3028700000.0
REGN,2025-04-29,8.22,8.82,0,3675600000.0
