Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
RJF,2015-10-21,0.59,0.61,0,
RJF,2016-01-20,0.49,0.56,0,
RJF,2016-04-20,0.6,0.5,1,
RJF,2016-07-20,0.62,0.6,1,
RJF,2016-10-26,0.85,0.66,1,
RJF,2017-01-25,0.71,0.67,1,
RJF,2017-04-26,0.85,0.76,1,
RJF,2017-07-26,0.84,0.85,0,
RJF,2017-10-25,0.98,0.88,1,
RJF,2018-01-24,1.07,0.83,1,
RJF,2018-04-25,1.09,1.08,1,
RJF,2018-07-25,1.03,1.15,0,
RJF,2018-10-24,1.12,1.21,0,
RJF,2019-01-23,1.19,1.15,1,
RJF,2019-04-24,1.21,1.09,1,
RJF,2019-07-24,1.2,1.22,0,
RJF,2019-10-24,1.33,1.27,1,
RJF,2020-01-22,1.26,1.29,0,
RJF,2020-04-29,0.8,0.97,0,
RJF,2020-07-29,0.82,0.65,1,
RJF,2020-10-28,1.19,0.89,1,
RJF,2021-01-27,1.49,1.15,1,
RJF,2021-04-28,1.67,1.45,1,
RJF,2021-07-28,1.83,1.59,1,
RJF,2021-10-27,2.06,1.71,1,
RJF,2022-01-26,2.12,1.76,1,
RJF,2022-04-27,1.55,1.64,0,
RJF,2022-07-27,1.61,1.66,0,
RJF,2022-10-26,2.08,2.0,1,
RJF,2023-01-25,2.29,2.28,1,
RJF,2023-04-26,2.03,2.23,0,
RJF,2023-07-26,1.85,2.16,0,
RJF,2023-10-25,2.13,2.28,0,
RJF,2024-01-24,2.4,2.26,1,
RJF,2024-04-24,2.31,2.31,0,3180000000.0
RJF,2024-07-24,2.39,2.32,1,3412000000.0
RJF,2024-10-23,2.95,2.41,1,3484000000.0
RJF,2025-01-29,2.93,2.69,1,3349000000.0
RJF,2025-04-23,2.42,2.44,0,3342000000.0
