Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ROK,2015-11-10,1.57,1.79,0,
ROK,2016-01-27,1.49,1.33,1,
ROK,2016-04-27,1.37,1.33,1,
ROK,2016-07-27,1.55,1.46,1,
ROK,2016-11-07,1.52,1.48,1,
ROK,2017-01-25,1.75,1.44,1,
ROK,2017-04-26,1.55,1.39,1,
ROK,2017-07-26,1.76,1.64,1,
ROK,2017-11-08,1.69,1.73,0,
ROK,2018-01-24,1.96,1.74,1,
ROK,2018-04-25,1.89,1.82,1,
ROK,2018-07-25,2.16,2.04,1,
ROK,2018-11-07,2.11,2.02,1,
ROK,2019-01-29,2.21,1.99,1,
ROK,2019-04-25,2.04,2.09,0,
ROK,2019-07-25,2.4,2.29,1,
ROK,2019-11-12,2.01,1.92,1,
ROK,2020-01-29,2.11,2.1,1,
ROK,2020-04-28,2.43,1.82,1,
ROK,2020-07-28,1.27,1.15,1,
ROK,2020-11-10,1.87,1.74,1,
ROK,2021-01-26,2.38,1.89,1,
ROK,2021-04-28,2.41,2.16,1,
ROK,2021-07-27,2.31,2.09,1,
ROK,2021-11-02,2.33,2.17,1,
ROK,2022-01-27,2.14,1.91,1,
ROK,2022-05-03,1.66,2.26,0,
ROK,2022-07-27,2.66,2.38,1,
ROK,2022-11-02,3.04,2.97,1,
ROK,2023-01-26,2.46,1.88,1,
ROK,2023-04-27,3.01,2.6,1,
ROK,2023-08-01,3.01,3.17,0,
ROK,2023-11-02,3.64,3.45,1,
ROK,2024-01-31,2.04,2.64,0,
ROK,2024-05-07,2.5,2.16,1,2051000000.0
ROK,2024-08-07,2.71,2.08,1,2035500000.0
ROK,2024-11-07,2.47,2.41,1,1881000000.0
ROK,2025-02-10,1.83,1.59,1,2001000000.0
ROK,2025-05-07,2.45,2.09,1,2144000000.0
