Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
ROST,2015-11-19,0.53,0.5,1,
ROST,2016-03-01,0.66,0.64,1,
ROST,2016-05-19,0.73,0.73,0,
ROST,2016-08-18,0.71,0.67,1,
ROST,2016-11-17,0.62,0.56,1,
ROST,2017-02-28,0.77,0.75,1,
ROST,2017-05-18,0.82,0.8,1,
ROST,2017-08-17,0.82,0.77,1,
ROST,2017-11-16,0.72,0.67,1,
ROST,2018-03-06,0.98,0.93,1,
ROST,2018-05-24,0.92,1.07,0,
ROST,2018-08-23,1.04,1.01,1,
ROST,2018-11-20,0.91,0.9,1,
ROST,2019-03-05,1.13,1.13,0,
ROST,2019-05-23,1.15,1.12,1,
ROST,2019-08-22,1.14,1.12,1,
ROST,2019-11-21,1.03,0.97,1,
ROST,2020-03-03,1.28,1.26,1,
ROST,2020-05-21,-0.87,0.03,0,
ROST,2020-08-20,0.06,-0.27,1,
ROST,2020-11-19,1.02,0.61,1,
ROST,2021-03-02,0.67,1.0,0,
ROST,2021-05-20,1.34,0.88,1,
ROST,2021-08-19,1.39,0.98,1,
ROST,2021-11-18,1.09,0.78,1,
ROST,2022-03-01,1.04,0.97,1,
ROST,2022-05-19,0.91,1.0,0,
ROST,2022-08-18,1.11,0.99,1,
ROST,2022-11-17,1.0,0.81,1,
ROST,2023-02-28,1.31,1.24,1,
ROST,2023-05-18,1.09,1.06,1,
ROST,2023-08-17,1.32,1.16,1,
ROST,2023-11-16,1.33,1.22,1,
ROST,2024-03-05,1.82,1.65,1,
ROST,2024-05-23,1.46,1.35,1,
ROST,2024-08-22,1.59,1.5,1,
ROST,2024-11-21,1.48,1.4,1,
ROST,2025-03-04,1.79,1.66,1,
ROST,2025-05-22,1.47,1.44,1,
