Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
RSG,2015-10-29,0.53,0.53,0,
RSG,2016-02-11,0.5,0.49,1,
RSG,2016-04-28,0.48,0.47,1,
RSG,2016-07-28,0.55,0.55,0,
RSG,2016-10-27,0.62,0.58,1,
RSG,2017-02-16,0.57,0.55,1,
RSG,2017-04-27,0.55,0.53,1,
RSG,2017-07-27,0.61,0.6,1,
RSG,2017-11-02,0.67,0.63,1,
RSG,2018-02-08,0.61,0.57,1,
RSG,2018-05-02,0.74,0.68,1,
RSG,2018-07-26,0.73,0.75,0,
RSG,2018-10-25,0.82,0.81,1,
RSG,2019-02-07,0.8,0.78,1,
RSG,2019-04-25,0.73,0.72,1,
RSG,2019-07-25,0.79,0.77,1,
RSG,2019-10-30,0.91,0.85,1,
RSG,2020-02-13,0.91,0.89,1,
RSG,2020-05-05,0.77,0.76,1,
RSG,2020-08-06,0.81,0.59,1,
RSG,2020-11-05,1.0,0.82,1,
RSG,2021-02-22,1.0,0.82,1,
RSG,2021-05-05,0.93,0.86,1,
RSG,2021-07-29,1.09,0.96,1,
RSG,2021-10-28,1.11,1.05,1,
RSG,2022-02-10,1.02,1.01,1,
RSG,2022-05-05,1.14,1.05,1,
RSG,2022-08-04,1.32,1.18,1,
RSG,2022-10-27,1.34,1.22,1,
RSG,2023-02-15,1.13,1.02,1,
RSG,2023-04-27,1.24,1.13,1,
RSG,2023-07-31,1.41,1.32,1,
RSG,2023-10-26,1.54,1.42,1,
RSG,2024-02-27,1.41,1.29,1,
RSG,2024-04-30,1.45,1.35,1,4048000000.0
RSG,2024-07-24,1.61,1.53,1,4076200000.0
RSG,2024-10-29,1.81,1.61,1,4046000000.0
RSG,2025-02-13,1.58,1.4,1,4009000000.0
RSG,2025-04-24,1.58,1.53,1,4235000000.0
