Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
RTX,2015-10-20,1.61,1.55,1,
RTX,2016-01-27,1.37,1.52,0,
RTX,2016-04-27,1.42,1.39,1,
RTX,2016-07-26,1.82,1.68,1,
RTX,2016-10-25,1.76,1.66,1,
RTX,2017-01-25,1.56,1.56,0,
RTX,2017-04-26,1.48,1.39,1,
RTX,2017-07-25,1.85,1.78,1,
RTX,2017-10-24,1.73,1.68,1,
RTX,2018-01-24,1.6,1.56,1,
RTX,2018-04-24,1.77,1.52,1,
RTX,2018-07-24,1.97,1.85,1,
RTX,2018-10-23,1.93,1.81,1,
RTX,2019-01-23,1.95,1.53,1,
RTX,2019-04-23,1.91,1.71,1,
RTX,2019-07-23,2.2,2.05,1,
RTX,2019-10-22,2.21,2.03,1,
RTX,2020-01-28,1.94,1.84,1,
RTX,2020-05-07,1.78,1.22,1,
RTX,2020-07-28,0.4,0.12,1,
RTX,2020-10-27,0.58,0.5,1,
RTX,2021-01-26,0.74,0.7,1,
RTX,2021-04-27,0.9,0.87,1,
RTX,2021-07-27,1.03,0.93,1,
RTX,2021-10-26,1.26,1.08,1,
RTX,2022-01-25,1.08,1.02,1,
RTX,2022-04-26,1.15,1.02,1,
RTX,2022-07-26,1.16,1.12,1,
RTX,2022-10-25,1.21,1.14,1,
RTX,2023-01-24,1.27,1.24,1,
RTX,2023-04-25,1.22,1.13,1,
RTX,2023-07-25,1.29,1.18,1,
RTX,2023-10-24,1.25,1.21,1,
RTX,2024-01-23,1.29,1.24,1,
RTX,2024-04-23,1.34,1.23,1,19721000000.0
RTX,2024-07-25,1.41,1.3,1,20089000000.0
RTX,2024-10-22,1.45,1.34,1,21623000000.0
RTX,2025-01-28,1.54,1.38,1,20306000000.0
RTX,2025-04-22,1.47,1.35,1,21581000000.0
