Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
SO,2015-10-28,1.17,1.16,1,
SO,2016-02-03,0.44,0.43,1,
SO,2016-04-27,0.58,0.53,1,
SO,2016-07-27,0.74,0.7,1,
SO,2016-10-31,1.28,1.17,1,
SO,2017-02-22,0.24,0.33,0,
SO,2017-05-03,0.66,0.6,1,
SO,2017-08-02,0.73,0.71,1,
SO,2017-11-01,1.12,1.07,1,
SO,2018-02-21,0.51,0.46,1,
SO,2018-05-02,0.88,0.83,1,
SO,2018-08-08,0.8,0.69,1,
SO,2018-11-07,1.14,1.07,1,
SO,2019-02-20,0.25,0.23,1,
SO,2019-05-01,0.7,0.72,0,
SO,2019-07-31,0.8,0.73,1,
SO,2019-10-30,1.34,1.14,1,
SO,2020-02-20,0.27,0.27,0,
SO,2020-04-30,0.78,0.71,1,
SO,2020-07-30,0.78,0.67,1,
SO,2020-10-29,1.22,1.21,1,
SO,2021-02-18,0.47,0.42,1,
SO,2021-04-29,0.98,0.83,1,
SO,2021-07-29,0.84,0.79,1,
SO,2021-11-04,1.23,1.22,1,
SO,2022-02-17,0.36,0.35,1,
SO,2022-04-28,0.97,0.9,1,
SO,2022-07-28,1.07,0.84,1,
SO,2022-10-27,1.31,1.33,0,
SO,2023-02-16,0.26,0.24,1,
SO,2023-04-27,0.79,0.71,1,
SO,2023-08-03,0.79,0.75,1,
SO,2023-11-02,1.42,1.32,1,
SO,2024-02-15,0.64,0.6,1,
SO,2024-05-02,1.03,0.91,1,6463000000.0
SO,2024-08-01,1.1,0.92,1,6463000000.0
SO,2024-10-31,1.43,1.34,1,6341000000.0
SO,2025-02-20,0.5,0.51,0,7775000000.0
SO,2025-05-01,1.23,1.2,1,7775000000.0
