Symbol,EarningsDate,ReportedEPS,EstimateEPS,EPSBeat,ReportedRevenue
SPG,2017-10-27,1.65,1.63,1,
SPG,2018-01-31,1.84,1.77,1,
SPG,2018-04-27,1.62,1.52,1,
SPG,2018-07-30,1.77,1.64,1,
SPG,2018-10-25,1.8,1.73,1,
SPG,2019-02-01,2.3,1.9,1,
SPG,2019-03-27,0.04,0.02,1,
SPG,2019-04-30,1.78,1.67,1,
SPG,2019-07-31,1.6,1.65,0,
SPG,2019-08-13,0.02,0.05,0,
SPG,2019-10-30,1.77,1.7,1,
SPG,2019-11-12,0.07,0.05,1,
SPG,2020-02-04,1.66,1.56,1,
SPG,2020-03-25,0.04,0.02,1,
SPG,2020-05-04,-0.05,-0.01,0,
SPG,2020-05-11,1.43,1.65,0,
SPG,2020-08-10,0.83,0.98,0,
SPG,2020-08-12,0.04,0.01,1,
SPG,2020-11-09,0.74,0.9,0,
SPG,2021-02-08,0.86,0.88,0,
SPG,2021-05-10,1.36,0.96,1,
SPG,2021-08-02,1.56,1.01,1,
SPG,2021-11-01,1.77,1.09,1,
SPG,2022-02-07,1.53,1.44,1,
SPG,2022-05-09,1.3,1.29,1,
SPG,2022-08-01,1.51,1.43,1,
SPG,2022-11-01,1.65,1.44,1,
SPG,2023-02-06,2.06,1.7,1,
SPG,2023-05-02,1.38,1.39,0,
SPG,2023-08-02,1.49,1.54,0,
SPG,2023-10-30,1.82,1.55,1,
SPG,2024-02-05,2.29,1.87,1,
SPG,2024-05-06,2.25,1.38,1,1458266000.0
SPG,2024-08-05,1.51,1.51,0,1480710000.0
SPG,2024-11-01,1.46,1.57,0,1480710000.0
SPG,2025-02-04,2.04,1.93,1,1473012000.0
SPG,2025-05-12,1.27,1.4,0,1498459000.0
